family,section,label,operation,mapping,size_mb,touch_mb,stride_kb,timed,protected_us,nvhe_us,gap_us,ratio
op_sweep,op_sweep,dontneed-file-0.5MB-dense,dontneed,file,64,0.500,4,,33.100000,33.100000,0.000000,1.000000
op_sweep,op_sweep,dontneed-file-1.5MB-dense,dontneed,file,64,1.500,4,,45.500000,49.100000,-3.600000,0.926680
op_sweep,op_sweep,dontneed-file-1.9MB-dense,dontneed,file,64,1.900,4,,40.900000,46.100000,-5.200000,0.887202
op_sweep,op_sweep,dontneed-file-16MB-dense,dontneed,file,64,16.000,4,,275.500000,266.800000,8.700000,1.032609
op_sweep,op_sweep,dontneed-file-1MB-dense,dontneed,file,64,1.000,4,,40.400000,29.300000,11.100000,1.378840
op_sweep,op_sweep,dontneed-file-2.1MB-dense,dontneed,file,64,2.100,4,,46.200000,52.800000,-6.600000,0.875000
op_sweep,op_sweep,dontneed-file-2MB-dense,dontneed,file,64,2.000,4,,53.400000,49.900000,3.500000,1.070140
op_sweep,op_sweep,dontneed-file-4MB-dense,dontneed,file,64,4.000,4,,79.100000,74.400000,4.700000,1.063172
op_sweep,op_sweep,dontneed-file-6.4MB-sparse,dontneed,file,64,6.400,16,,44.500000,43.000000,1.500000,1.034884
op_sweep,op_sweep,dontneed-file-64MB-dense,dontneed,file,64,64.000,4,,1074.200000,1052.000000,22.200000,1.021103
op_sweep,op_sweep,dontneed-file-8MB-dense,dontneed,file,64,8.000,4,,141.300000,137.700000,3.600000,1.026144
op_sweep,op_sweep,mprotect-file-0.25MB-dense,mprotect,file,64,0.250,4,,23.100000,28.400000,-5.300000,0.813380
op_sweep,op_sweep,mprotect-file-0.5MB-dense,mprotect,file,64,0.500,4,,22.500000,14.300000,8.200000,1.573427
op_sweep,op_sweep,mprotect-file-1.5MB-dense,mprotect,file,64,1.500,4,,17.100000,20.700000,-3.600000,0.826087
op_sweep,op_sweep,mprotect-file-1.9MB-dense,mprotect,file,64,1.900,4,,24.400000,21.800000,2.600000,1.119266
op_sweep,op_sweep,mprotect-file-16MB-dense,mprotect,file,64,16.000,4,,65.400000,65.000000,0.400000,1.006154
op_sweep,op_sweep,mprotect-file-1MB-dense,mprotect,file,64,1.000,4,,18.200000,23.800000,-5.600000,0.764706
op_sweep,op_sweep,mprotect-file-2.1MB-dense,mprotect,file,64,2.100,4,,21.900000,21.500000,0.400000,1.018605
op_sweep,op_sweep,mprotect-file-2MB-dense,mprotect,file,64,2.000,4,,14.100000,12.500000,1.600000,1.128000
op_sweep,op_sweep,mprotect-file-4MB-dense,mprotect,file,64,4.000,4,,21.100000,25.900000,-4.800000,0.814672
op_sweep,op_sweep,mprotect-file-6.4MB-sparse,mprotect,file,64,6.400,16,,14.300000,11.600000,2.700000,1.232759
op_sweep,op_sweep,mprotect-file-64MB-dense,mprotect,file,64,64.000,4,,235.400000,233.900000,1.500000,1.006413
op_sweep,op_sweep,mprotect-file-8MB-dense,mprotect,file,64,8.000,4,,35.700000,35.100000,0.600000,1.017094
op_sweep,op_sweep,munmap-file-0.25MB-dense,munmap,file,64,0.250,4,,38.900000,32.200000,6.700000,1.208075
op_sweep,op_sweep,munmap-file-0.5MB-dense,munmap,file,64,0.500,4,,34.500000,39.100000,-4.600000,0.882353
op_sweep,op_sweep,munmap-file-1.5MB-dense,munmap,file,64,1.500,4,,52.400000,49.900000,2.500000,1.050100
op_sweep,op_sweep,munmap-file-1.9MB-dense,munmap,file,64,1.900,4,,58.400000,52.000000,6.400000,1.123077
op_sweep,op_sweep,munmap-file-16MB-dense,munmap,file,64,16.000,4,,291.800000,277.900000,13.900000,1.050018
op_sweep,op_sweep,munmap-file-1MB-dense,munmap,file,64,1.000,4,,36.900000,33.000000,3.900000,1.118182
op_sweep,op_sweep,munmap-file-2.1MB-dense,munmap,file,64,2.100,4,,58.700000,56.800000,1.900000,1.033451
op_sweep,op_sweep,munmap-file-2MB-dense,munmap,file,64,2.000,4,,57.600000,58.800000,-1.200000,0.979592
op_sweep,op_sweep,munmap-file-4MB-dense,munmap,file,64,4.000,4,,76.100000,82.100000,-6.000000,0.926918
op_sweep,op_sweep,munmap-file-6.4MB-sparse,munmap,file,64,6.400,16,,42.900000,45.400000,-2.500000,0.944934
op_sweep,op_sweep,munmap-file-64MB-dense,munmap,file,64,64.000,4,,1089.200000,1058.700000,30.500000,1.028809
op_sweep,op_sweep,munmap-file-8MB-dense,munmap,file,64,8.000,4,,151.400000,141.200000,10.200000,1.072238
tmpfs_op_sweep,tmpfs_op_sweep,munmap-tmpfs-6.4MB-sparse,munmap,file,64,6.400,16,,45.000000,45.100000,-0.100000,0.997783
tmpfs_op_sweep,tmpfs_op_sweep,munmap-tmpfs-64MB-full,munmap,file,64,64.000,4,,808.500000,858.000000,-49.500000,0.942308
