mode,family,source,section,label,operation,mapping,size_mb,touch_mb,stride_kb,timed,iters,mean_us,min_us,per_iter_us,per_touch_ns,huge_anon_kb,huge_shmem_kb,huge_file_kb
protected,op_sweep,op_sweep.txt,op_sweep,dontneed-file-2.1MB-dense,dontneed,file,64,2.100,4,,,46.2,37.2,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,dontneed-file-4MB-dense,dontneed,file,64,4.000,4,,,79.1,68.0,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,dontneed-file-8MB-dense,dontneed,file,64,8.000,4,,,141.3,135.9,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,dontneed-file-16MB-dense,dontneed,file,64,16.000,4,,,275.5,270.4,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,dontneed-file-64MB-dense,dontneed,file,64,64.000,4,,,1074.2,1057.7,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,dontneed-file-6.4MB-sparse,dontneed,file,64,6.400,16,,,44.5,29.2,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,mprotect-file-0.25MB-dense,mprotect,file,64,0.250,4,,,23.1,5.8,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,mprotect-file-0.5MB-dense,mprotect,file,64,0.500,4,,,22.5,4.6,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,mprotect-file-1MB-dense,mprotect,file,64,1.000,4,,,18.2,5.7,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,mprotect-file-1.5MB-dense,mprotect,file,64,1.500,4,,,17.1,7.7,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,mprotect-file-1.9MB-dense,mprotect,file,64,1.900,4,,,24.4,9.9,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,mprotect-file-2MB-dense,mprotect,file,64,2.000,4,,,14.1,10.5,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,mprotect-file-2.1MB-dense,mprotect,file,64,2.100,4,,,21.9,9.4,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,mprotect-file-4MB-dense,mprotect,file,64,4.000,4,,,21.1,16.6,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,mprotect-file-8MB-dense,mprotect,file,64,8.000,4,,,35.7,31.7,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,mprotect-file-16MB-dense,mprotect,file,64,16.000,4,,,65.4,62.5,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,mprotect-file-64MB-dense,mprotect,file,64,64.000,4,,,235.4,230.6,,,,,
protected,op_sweep,op_sweep.txt,op_sweep,mprotect-file-6.4MB-sparse,mprotect,file,64,6.400,16,,,14.3,9.0,,,,,
protected,backing,backing_munmap_only.txt,backing,file-8MB-sparse,munmap,file,8,6.400,16,,,42.9,36.4,,,,,
protected,backing,backing_munmap_only.txt,backing,file-16MB-sparse,munmap,file,16,6.400,16,,,52.0,35.1,,,,,
protected,backing,backing_munmap_only.txt,backing,file-64MB-sparse,munmap,file,64,6.400,16,,,41.9,36.2,,,,,
protected,backing,backing_munmap_only.txt,backing,file-64MB-full,munmap,file,64,64.000,4,,,1091.7,1069.3,,,,,
protected,backing,backing_munmap_only.txt,backing,anon_base-8MB-sparse,munmap,anon_base,8,6.400,16,,,39.7,35.4,,,,,
protected,backing,backing_munmap_only.txt,backing,anon_base-16MB-sparse,munmap,anon_base,16,6.400,16,,,48.2,42.2,,,,,
protected,backing,backing_munmap_only.txt,backing,anon_base-64MB-sparse,munmap,anon_base,64,6.400,16,,,64.9,37.3,,,,,
protected,backing,backing_munmap_only.txt,backing,anon_base-64MB-full,munmap,anon_base,64,64.000,4,,,2457.8,2223.6,,,,,
protected,backing,backing_munmap_only.txt,backing,anon_huge-8MB-sparse,munmap,anon_huge,8,6.400,16,,,64.5,39.8,,,,,
protected,backing,backing_munmap_only.txt,backing,anon_huge-16MB-sparse,munmap,anon_huge,16,6.400,16,,,85.3,46.8,,,,,
protected,backing,backing_munmap_only.txt,backing,anon_huge-64MB-sparse,munmap,anon_huge,64,6.400,16,,,63.6,38.7,,,,,
protected,backing,backing_munmap_only.txt,backing,anon_huge-64MB-full,munmap,anon_huge,64,64.000,4,,,2350.8,1980.5,,,,,
protected,munmap_bench,munmap_bench.txt,munmap_bench,file-64MB-full,mmap_touch_munmap,file,64,,,,60,,,22510.1,,,,
protected,munmap_bench,munmap_bench.txt,munmap_bench,anon_base-64MB-full,mmap_touch_munmap,anon_base,64,,,,60,,,19540.9,,,,
protected,munmap_bench,munmap_bench.txt,munmap_bench,anon_huge-64MB-full,mmap_touch_munmap,anon_huge,64,,,,60,,,19660.4,,,,
protected,huge_check,huge_check.txt,huge_check,anon-8MB-sparse,huge_check,anon,8,6.400,16,,,,,,,0,0,0
protected,huge_check,huge_check.txt,huge_check,anon-16MB-sparse,huge_check,anon,16,6.400,16,,,,,,,0,0,0
protected,huge_check,huge_check.txt,huge_check,anon-64MB-sparse,huge_check,anon,64,6.400,16,,,,,,,0,0,0
protected,huge_check,huge_check.txt,huge_check,anon-64MB-full,huge_check,anon,64,64.000,4,,,,,,,0,0,0
protected,huge_check,huge_check.txt,huge_check,tmpfs-64MB-sparse,huge_check,shmem,64,6.400,16,,,,,,,0,0,0
protected,huge_check,huge_check.txt,huge_check,tmpfs-64MB-full,huge_check,shmem,64,64.000,4,,,,,,,0,0,0
protected,tmpfs_op_sweep,tmpfs_op_sweep.txt,tmpfs_op_sweep,munmap-tmpfs-6.4MB-sparse,munmap,file,64,6.400,16,,,45.0,28.0,,,,,
protected,tmpfs_op_sweep,tmpfs_op_sweep.txt,tmpfs_op_sweep,munmap-tmpfs-64MB-full,munmap,file,64,64.000,4,,,808.5,775.6,,,,,
protected,mmap_split,mmap_split.csv,mmap_split,mmap_unmap,mmap_unmap,file,64,6.4,16,mmap_unmap,200,,,13.709920,0.000,,,
protected,mmap_split,mmap_split.csv,mmap_split,write_touch_cold,write_touch_cold,file,64,6.4,16,write_touch_cold,200,,,624.711095,1523.686,,,
protected,mmap_split,mmap_split.csv,mmap_split,munmap_after_no_touch,munmap_after_no_touch,file,64,6.4,16,munmap_after_no_touch,200,,,2.042225,0.000,,,
protected,mmap_split,mmap_split.csv,mmap_split,munmap_after_write_touch,munmap_after_write_touch,file,64,6.4,16,munmap_after_write_touch,200,,,36.152805,0.000,,,
protected,mmap_split,mmap_split.csv,mmap_split,mmap_write_touch_unmap,mmap_write_touch_unmap,file,64,6.4,16,mmap_write_touch_unmap,200,,,540.611170,1318.564,,,
nvhe,lat_mmap,lat_mmap_precise.txt,lat_mmap_precise,file-64-sparse,lat_mmap_precise,file,64,6.4,16,,200,,,674.095865,,,,
nvhe,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-0.25MB-dense,munmap,file,64,0.250,4,,,24.6,10.5,,,,,
nvhe,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-0.5MB-dense,munmap,file,64,0.500,4,,,40.3,16.2,,,,,
nvhe,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-1MB-dense,munmap,file,64,1.000,4,,,44.5,19.8,,,,,
nvhe,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-1.5MB-dense,munmap,file,64,1.500,4,,,53.8,28.3,,,,,
nvhe,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-1.9MB-dense,munmap,file,64,1.900,4,,,59.6,34.7,,,,,
nvhe,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-2MB-dense,munmap,file,64,2.000,4,,,50.5,37.0,,,,,
nvhe,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-2.1MB-dense,munmap,file,64,2.100,4,,,62.0,38.0,,,,,
nvhe,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-4MB-dense,munmap,file,64,4.000,4,,,75.6,68.2,,,,,
nvhe,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-8MB-dense,munmap,file,64,8.000,4,,,145.2,132.6,,,,,
nvhe,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-16MB-dense,munmap,file,64,16.000,4,,,278.6,264.9,,,,,
nvhe,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-64MB-dense,munmap,file,64,64.000,4,,,1066.3,1042.4,,,,,
nvhe,munmap_threshold,munmap_threshold.txt,munmap_threshold,file-6.4MB-sparse,munmap,file,64,6.400,16,,,49.3,34.6,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,munmap-file-0.25MB-dense,munmap,file,64,0.250,4,,,32.2,14.1,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,munmap-file-0.5MB-dense,munmap,file,64,0.500,4,,,39.1,14.9,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,munmap-file-1MB-dense,munmap,file,64,1.000,4,,,33.0,18.6,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,munmap-file-1.5MB-dense,munmap,file,64,1.500,4,,,49.9,27.5,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,munmap-file-1.9MB-dense,munmap,file,64,1.900,4,,,52.0,33.7,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,munmap-file-2MB-dense,munmap,file,64,2.000,4,,,58.8,35.2,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,munmap-file-2.1MB-dense,munmap,file,64,2.100,4,,,56.8,36.8,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,munmap-file-4MB-dense,munmap,file,64,4.000,4,,,82.1,68.3,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,munmap-file-8MB-dense,munmap,file,64,8.000,4,,,141.2,132.3,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,munmap-file-16MB-dense,munmap,file,64,16.000,4,,,277.9,266.1,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,munmap-file-64MB-dense,munmap,file,64,64.000,4,,,1058.7,1041.2,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,munmap-file-6.4MB-sparse,munmap,file,64,6.400,16,,,45.4,31.5,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,dontneed-file-0.25MB-dense,dontneed,file,64,0.250,4,,,28.8,9.7,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,dontneed-file-0.5MB-dense,dontneed,file,64,0.500,4,,,33.1,13.0,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,dontneed-file-1MB-dense,dontneed,file,64,1.000,4,,,29.3,17.6,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,dontneed-file-1.5MB-dense,dontneed,file,64,1.500,4,,,49.1,25.8,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,dontneed-file-1.9MB-dense,dontneed,file,64,1.900,4,,,46.1,32.1,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,dontneed-file-2MB-dense,dontneed,file,64,2.000,4,,,49.9,33.7,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,dontneed-file-2.1MB-dense,dontneed,file,64,2.100,4,,,52.8,35.3,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,dontneed-file-4MB-dense,dontneed,file,64,4.000,4,,,74.4,66.2,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,dontneed-file-8MB-dense,dontneed,file,64,8.000,4,,,137.7,130.6,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,dontneed-file-16MB-dense,dontneed,file,64,16.000,4,,,266.8,261.0,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,dontneed-file-64MB-dense,dontneed,file,64,64.000,4,,,1052.0,1034.9,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,dontneed-file-6.4MB-sparse,dontneed,file,64,6.400,16,,,43.0,29.7,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,mprotect-file-0.25MB-dense,mprotect,file,64,0.250,4,,,28.4,4.5,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,mprotect-file-0.5MB-dense,mprotect,file,64,0.500,4,,,14.3,4.4,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,mprotect-file-1MB-dense,mprotect,file,64,1.000,4,,,23.8,5.7,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,mprotect-file-1.5MB-dense,mprotect,file,64,1.500,4,,,20.7,7.4,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,mprotect-file-1.9MB-dense,mprotect,file,64,1.900,4,,,21.8,9.2,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,mprotect-file-2MB-dense,mprotect,file,64,2.000,4,,,12.5,8.6,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,mprotect-file-2.1MB-dense,mprotect,file,64,2.100,4,,,21.5,9.9,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,mprotect-file-4MB-dense,mprotect,file,64,4.000,4,,,25.9,17.0,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,mprotect-file-8MB-dense,mprotect,file,64,8.000,4,,,35.1,31.1,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,mprotect-file-16MB-dense,mprotect,file,64,16.000,4,,,65.0,60.9,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,mprotect-file-64MB-dense,mprotect,file,64,64.000,4,,,233.9,229.4,,,,,
nvhe,op_sweep,op_sweep.txt,op_sweep,mprotect-file-6.4MB-sparse,mprotect,file,64,6.400,16,,,11.6,8.7,,,,,
nvhe,backing,backing_munmap_only.txt,backing,file-8MB-sparse,munmap,file,8,6.400,16,,,55.1,35.0,,,,,
nvhe,backing,backing_munmap_only.txt,backing,file-16MB-sparse,munmap,file,16,6.400,16,,,63.6,35.2,,,,,
nvhe,backing,backing_munmap_only.txt,backing,file-64MB-sparse,munmap,file,64,6.400,16,,,47.3,35.6,,,,,
nvhe,backing,backing_munmap_only.txt,backing,file-64MB-full,munmap,file,64,64.000,4,,,1062.0,1040.0,,,,,
nvhe,backing,backing_munmap_only.txt,backing,anon_base-8MB-sparse,munmap,anon_base,8,6.400,16,,,67.7,40.6,,,,,
nvhe,backing,backing_munmap_only.txt,backing,anon_base-16MB-sparse,munmap,anon_base,16,6.400,16,,,39.7,35.2,,,,,
nvhe,backing,backing_munmap_only.txt,backing,anon_base-64MB-sparse,munmap,anon_base,64,6.400,16,,,77.8,39.8,,,,,
nvhe,backing,backing_munmap_only.txt,backing,anon_base-64MB-full,munmap,anon_base,64,64.000,4,,,2299.4,2106.5,,,,,
nvhe,backing,backing_munmap_only.txt,backing,anon_huge-8MB-sparse,munmap,anon_huge,8,6.400,16,,,66.8,39.6,,,,,
nvhe,backing,backing_munmap_only.txt,backing,anon_huge-16MB-sparse,munmap,anon_huge,16,6.400,16,,,83.6,39.8,,,,,
nvhe,backing,backing_munmap_only.txt,backing,anon_huge-64MB-sparse,munmap,anon_huge,64,6.400,16,,,41.0,35.0,,,,,
nvhe,backing,backing_munmap_only.txt,backing,anon_huge-64MB-full,munmap,anon_huge,64,64.000,4,,,2282.1,2109.7,,,,,
nvhe,munmap_bench,munmap_bench.txt,munmap_bench,file-64MB-full,mmap_touch_munmap,file,64,,,,60,,,25333.7,,,,
nvhe,munmap_bench,munmap_bench.txt,munmap_bench,anon_base-64MB-full,mmap_touch_munmap,anon_base,64,,,,60,,,17500.3,,,,
nvhe,munmap_bench,munmap_bench.txt,munmap_bench,anon_huge-64MB-full,mmap_touch_munmap,anon_huge,64,,,,60,,,17940.0,,,,
nvhe,huge_check,huge_check.txt,huge_check,anon-8MB-sparse,huge_check,anon,8,6.400,16,,,,,,,0,0,0
nvhe,huge_check,huge_check.txt,huge_check,anon-16MB-sparse,huge_check,anon,16,6.400,16,,,,,,,0,0,0
nvhe,huge_check,huge_check.txt,huge_check,anon-64MB-sparse,huge_check,anon,64,6.400,16,,,,,,,0,0,0
nvhe,huge_check,huge_check.txt,huge_check,anon-64MB-full,huge_check,anon,64,64.000,4,,,,,,,0,0,0
nvhe,huge_check,huge_check.txt,huge_check,tmpfs-64MB-sparse,huge_check,shmem,64,6.400,16,,,,,,,0,0,0
nvhe,huge_check,huge_check.txt,huge_check,tmpfs-64MB-full,huge_check,shmem,64,64.000,4,,,,,,,0,0,0
nvhe,tmpfs_op_sweep,tmpfs_op_sweep.txt,tmpfs_op_sweep,munmap-tmpfs-6.4MB-sparse,munmap,file,64,6.400,16,,,45.1,27.5,,,,,
nvhe,tmpfs_op_sweep,tmpfs_op_sweep.txt,tmpfs_op_sweep,munmap-tmpfs-64MB-full,munmap,file,64,64.000,4,,,858.0,811.4,,,,,
nvhe,mmap_split,mmap_split.csv,mmap_split,mmap_unmap,mmap_unmap,file,64,6.4,16,mmap_unmap,200,,,10.594080,0.000,,,
nvhe,mmap_split,mmap_split.csv,mmap_split,write_touch_cold,write_touch_cold,file,64,6.4,16,write_touch_cold,200,,,650.715755,1587.112,,,
nvhe,mmap_split,mmap_split.csv,mmap_split,munmap_after_no_touch,munmap_after_no_touch,file,64,6.4,16,munmap_after_no_touch,200,,,3.823255,0.000,,,
nvhe,mmap_split,mmap_split.csv,mmap_split,munmap_after_write_touch,munmap_after_write_touch,file,64,6.4,16,munmap_after_write_touch,200,,,45.115345,0.000,,,
nvhe,mmap_split,mmap_split.csv,mmap_split,mmap_write_touch_unmap,mmap_write_touch_unmap,file,64,6.4,16,mmap_write_touch_unmap,200,,,690.694580,1684.621,,,
