bench,variant,unit,kvmoff_median,kvmoff_MAD%,nvhe_median,nvhe_MAD%,vhe_median,vhe_MAD%,pkvm_median,pkvm_MAD%,nvhe_vs_kvmoff_%,vhe_vs_kvmoff_%,pkvm_vs_kvmoff_%,pkvm_vs_vhe_%,pkvm_vs_nvhe_%
bw_file_rd_o2c,sz0.004096,MB/s,1812.835000,0.158867,1813.240000,0.400664,1813.955000,0.220237,1810.540000,0.149679,0.022341,0.061782,-0.126597,-0.188263,-0.148905
bw_file_rd_o2c,sz0.008192,MB/s,3005.300000,0.531727,3014.975000,0.477450,2991.520000,0.426038,3008.435000,0.301153,0.321931,-0.458523,0.104316,0.565432,-0.216917
bw_file_rd_o2c,sz0.016384,MB/s,4402.800000,0.169665,4382.180000,0.358269,4395.020000,0.581795,4327.260000,0.822114,-0.468338,-0.176706,-1.715726,-1.541745,-1.253258
bw_file_rd_o2c,sz0.032768,MB/s,5497.825000,0.235275,5524.190000,0.507676,5551.100000,0.584749,5430.560000,1.024204,0.479553,0.969020,-1.223484,-2.171462,-1.694909
bw_file_rd_o2c,sz0.065536,MB/s,6066.605000,0.643688,6088.060000,0.233900,6077.345000,0.700306,6012.720000,0.247725,0.353657,0.177035,-0.888223,-1.063376,-1.237504
bw_file_rd_o2c,sz0.131072,MB/s,6557.485000,0.113763,6541.080000,0.277783,6550.615000,0.214102,6482.415000,0.249984,-0.250172,-0.104766,-1.144799,-1.041124,-0.896870
bw_file_rd_o2c,sz0.262144,MB/s,6788.325000,0.224282,6790.800000,0.178182,6788.450000,0.320323,6739.375000,0.140740,0.036460,0.001841,-0.721091,-0.722919,-0.757275
bw_file_rd_o2c,sz0.524288,MB/s,6850.180000,0.205542,6863.965000,0.211394,6871.925000,0.250730,6814.805000,0.226125,0.201236,0.317437,-0.516410,-0.831208,-0.716204
bw_file_rd_o2c,sz1.05,MB/s,6760.355000,0.252575,6770.495000,0.362381,6782.145000,0.248815,6721.625000,0.185967,0.149992,0.322320,-0.572899,-0.892343,-0.721808
bw_file_rd_o2c,sz16.78,MB/s,5091.570000,5.472772,5259.335000,5.175464,4381.545000,0.942248,5213.175000,1.373156,3.294956,-13.945109,2.388360,18.980291,-0.877678
bw_file_rd_o2c,sz2.10,MB/s,6300.770000,0.330595,6316.645000,0.235885,6354.790000,0.366338,6351.220000,0.240505,0.251953,0.857356,0.800696,-0.056178,0.547363
bw_file_rd_o2c,sz33.55,MB/s,5680.450000,1.928808,5881.125000,3.088440,5307.385000,1.823120,5475.275000,0.950911,3.532731,-6.567525,-3.611950,3.163328,-6.900891
bw_file_rd_o2c,sz4.19,MB/s,5089.945000,0.883801,5141.535000,0.697165,5105.665000,0.946008,5158.815000,0.307435,1.013567,0.308844,1.353060,1.041001,0.336086
bw_file_rd_o2c,sz67.11,MB/s,6096.945000,1.487466,6173.775000,2.603512,5694.430000,1.190549,5959.055000,1.745495,1.260139,-6.601913,-2.261624,4.647085,-3.477937
bw_file_rd_o2c,sz8.39,MB/s,4567.120000,0.828421,4725.380000,2.347219,4556.140000,0.380037,4572.120000,0.688740,3.465203,-0.240414,0.109478,0.350735,-3.243337
bw_mem_bcopy_aligned,sz0.000512,MB/s,24143.035000,0.005115,24141.760000,0.005261,24141.935000,0.004536,24142.110000,0.010500,-0.005281,-0.004556,-0.003831,0.000725,0.001450
bw_mem_bcopy_aligned,sz0.001024,MB/s,25800.515000,0.069747,25853.680000,0.043495,25843.835000,0.122544,25861.430000,0.095432,0.206062,0.167904,0.236100,0.068082,0.029976
bw_mem_bcopy_aligned,sz0.002048,MB/s,27198.700000,0,27200.415000,0.004540,27198.700000,0.006287,27200.415000,0.002776,0.006305,0,0.006305,0.006305,0
bw_mem_bcopy_aligned,sz0.004096,MB/s,27960.520000,0.000787,27961.190000,0.011444,27957.990000,0.004543,27961.395000,0.012249,0.002396,-0.009048,0.003129,0.012179,0.000733
bw_mem_bcopy_aligned,sz0.008192,MB/s,28371.205000,0.017042,28369.920000,0.013588,28359.635000,0.018142,28366.065000,0.012497,-0.004529,-0.040781,-0.018117,0.022673,-0.013588
bw_mem_bcopy_aligned,sz0.016384,MB/s,28586.120000,0.009078,28578.330000,0.009098,28574.445000,0.013596,28583.520000,0.014799,-0.027251,-0.040841,-0.009095,0.031759,0.018161
bw_mem_bcopy_aligned,sz0.032768,MB/s,28689.480000,0.006588,28686.870000,0.004549,28687.815000,0.009081,28690.425000,0.004531,-0.009097,-0.005804,0.003294,0.009098,0.012392
bw_mem_bcopy_aligned,sz0.065536,MB/s,28695.815000,0.013016,28696.940000,0.001481,28696.910000,0.013015,28697.290000,0.009478,0.003920,0.003816,0.005140,0.001324,0.001220
bw_mem_bcopy_aligned,sz0.131072,MB/s,28260.965000,0.027281,28259.680000,0.027283,28262.250000,0.018187,28261.100000,0.022734,-0.004547,0.004547,0.000478,-0.004069,0.005025
bw_mem_bcopy_aligned,sz0.262144,MB/s,28314.785000,0.031838,28316.700000,0.013632,28298.080000,0.040815,28314.790000,0.024863,0.006763,-0.058997,0.000018,0.059050,-0.006745
bw_mem_bcopy_aligned,sz0.524288,MB/s,25722.290000,0.984749,25980.815000,0.815024,25806.650000,1.120738,26019.885000,0.721736,1.005062,0.327965,1.156954,0.826279,0.150380
bw_mem_bcopy_aligned,sz1.05,MB/s,19545.365000,1.286315,19558.255000,1.345033,19310.260000,0.814334,19404.500000,0.859517,0.065949,-1.202868,-0.720708,0.488031,-0.786139
bw_mem_bcopy_aligned,sz16.78,MB/s,12808.690000,0.507156,12743.265000,0.389735,12761.575000,0.367940,12854.465000,0.161656,-0.510786,-0.367836,0.357375,0.727888,0.872618
bw_mem_bcopy_aligned,sz2.10,MB/s,15930.030000,0.655962,15949.630000,2.350149,15421.920000,4.185406,14653.815000,1.912949,0.123038,-3.189636,-8.011379,-4.980606,-8.124420
bw_mem_bcopy_aligned,sz33.55,MB/s,12528.255000,0.127113,12516.225000,0.157356,12238.335000,0.219270,12380.570000,0.121642,-0.096023,-2.314129,-1.178815,1.162209,-1.083833
bw_mem_bcopy_aligned,sz4.19,MB/s,13641.765000,0.798320,13750.515000,0.420093,13832.255000,1.094579,13754.900000,1.489397,0.797184,1.396374,0.829328,-0.559236,0.031890
bw_mem_bcopy_aligned,sz8.39,MB/s,12908.375000,0.668519,12907.305000,0.724551,13208.675000,0.656122,13197.150000,0.409217,-0.008289,2.326397,2.237114,-0.087253,2.245589
bw_mem_bcopy_unaligned,sz0.000512,MB/s,24025.250000,0.009095,24025.480000,0.003829,24022.835000,0.010032,24025.250000,0.002435,0.000957,-0.010052,0,0.010053,-0.000957
bw_mem_bcopy_unaligned,sz0.001024,MB/s,25776.530000,0.001028,25776.530000,0,25776,0.004559,25776.530000,0,0,-0.002056,0,0.002056,0
bw_mem_bcopy_unaligned,sz0.002048,MB/s,27072.340000,0.006593,27069.430000,0.010732,27067.420000,0.016514,27066.975000,0.009070,-0.010749,-0.018174,-0.019817,-0.001644,-0.009069
bw_mem_bcopy_unaligned,sz0.004096,MB/s,27805.320000,0.000324,27804.055000,0.013613,27805.320000,0,27805.320000,0.004855,-0.004549,0,0,0,0.004550
bw_mem_bcopy_unaligned,sz0.008192,MB/s,28316.010000,0.009941,28300.310000,0.049770,28318.750000,0.047760,28253.380000,0.010884,-0.055446,0.009677,-0.221182,-0.230836,-0.165829
bw_mem_bcopy_unaligned,sz0.016384,MB/s,28562.410000,0.009085,28562.780000,0.027291,28563.710000,0.012341,28539.490000,0.012159,0.001295,0.004551,-0.080245,-0.084793,-0.081540
bw_mem_bcopy_unaligned,sz0.032768,MB/s,28679.635000,0.007096,28684.920000,0.012358,28680.935000,0.010355,28680.255000,0.006712,0.018428,0.004533,0.002162,-0.002371,-0.016263
bw_mem_bcopy_unaligned,sz0.065536,MB/s,28694.510000,0.009078,28694.820000,0.007388,28694.330000,0.007423,28694.640000,0.006168,0.001080,-0.000627,0.000453,0.001080,-0.000627
bw_mem_bcopy_unaligned,sz0.131072,MB/s,28248.125000,0.018692,28251.970000,0.009097,28248.125000,0.018178,28251.970000,0.009097,0.013612,0,0.013612,0.013612,0
bw_mem_bcopy_unaligned,sz0.262144,MB/s,28275.565000,0.090874,28229.385000,0.252219,28231.990000,0.193185,28173.610000,0.154027,-0.163321,-0.154108,-0.360576,-0.206787,-0.197578
bw_mem_bcopy_unaligned,sz0.524288,MB/s,25136.050000,0.334659,25117.375000,2.139873,25002.160000,1.864179,24720.815000,1.632470,-0.074296,-0.532661,-1.651950,-1.125283,-1.578827
bw_mem_bcopy_unaligned,sz1.05,MB/s,18646.835000,0.922301,19072.270000,1.164465,18413.040000,1.486990,18393.325000,1.006126,2.281540,-1.253805,-1.359534,-0.107071,-3.559854
bw_mem_bcopy_unaligned,sz16.78,MB/s,12518.750000,0.282017,12506.635000,0.271496,11975.175000,0.295278,12238.340000,0.251464,-0.096775,-4.342087,-2.239920,2.197588,-2.145221
bw_mem_bcopy_unaligned,sz2.10,MB/s,14868.325000,0.954277,14876.235000,1.188641,14320.315000,0.453307,14269.580000,0.889515,0.053200,-3.685755,-4.026984,-0.354287,-4.078014
bw_mem_bcopy_unaligned,sz33.55,MB/s,12504.455000,0.231238,12491.430000,0.238323,12171.740000,0.318401,12346.060000,0.222095,-0.104163,-2.660772,-1.266709,1.432170,-1.163758
bw_mem_bcopy_unaligned,sz4.19,MB/s,12990.490000,0.394057,13000.670000,0.548895,12336.555000,0.724959,12696.930000,1.020483,0.078365,-5.033952,-2.259807,2.921196,-2.336341
bw_mem_bcopy_unaligned,sz8.39,MB/s,12609.985000,0.566139,12623.380000,0.217454,12039.630000,0.272890,12298.420000,0.427697,0.106225,-4.523043,-2.470780,2.149485,-2.574271
bw_mem_bzero,sz0.000512,MB/s,38374.370000,0.001094,38374.790000,0.007974,38372.625000,0.009082,38374.370000,0,0.001094,-0.004547,0,0.004548,-0.001094
bw_mem_bzero,sz0.001024,MB/s,46051.290000,0.004973,46053.010000,0.004538,46049.400000,0.007557,46053.180000,0.000869,0.003735,-0.004104,0.004104,0.008209,0.000369
bw_mem_bzero,sz0.002048,MB/s,51168.710000,0,51168.710000,0,51168.710000,0.006889,51168.710000,0,0,0,0,0,0
bw_mem_bzero,sz0.004096,MB/s,54179.180000,0.003562,54179.180000,0.003562,54177.250000,0.005537,54175.750000,0.002769,0,-0.003562,-0.006331,-0.002769,-0.006331
bw_mem_bzero,sz0.008192,MB/s,55821.310000,0.001612,55821.135000,0.003431,55819.650000,0.006109,55821.310000,0.009083,-0.000314,-0.002974,0,0.002974,0.000314
bw_mem_bzero,sz0.016384,MB/s,56677.330000,0.004561,56676.685000,0.004543,56677.320000,0.009104,56677.320000,0.005919,-0.001138,-0.000018,-0.000018,0,0.001120
bw_mem_bzero,sz0.032768,MB/s,57118.890000,0.003221,57118.890000,0.002626,57118.890000,0.001313,57115.210000,0.002661,0,0,-0.006443,-0.006443,-0.006443
bw_mem_bzero,sz0.065536,MB/s,57335.810000,0,57338.415000,0.004543,57335.810000,0.004543,57341.020000,0,0.004543,0,0.009087,0.009087,0.004543
bw_mem_bzero,sz0.131072,MB/s,57448.880000,0.003708,57448.880000,0.004552,57447.815000,0.004587,57446.275000,0.009931,0,-0.001854,-0.004534,-0.002681,-0.004534
bw_mem_bzero,sz0.262144,MB/s,57274.770000,0.372171,57481.055000,0.043345,57337.760000,0.280688,57250.690000,0.348747,0.360167,0.109979,-0.042043,-0.151855,-0.400767
bw_mem_bzero,sz0.524288,MB/s,55394.755000,1.298507,56190.405000,0.639282,55217.140000,0.571154,55295.670000,1.048699,1.436327,-0.320635,-0.178871,0.142220,-1.592327
bw_mem_bzero,sz1.05,MB/s,52055.230000,1.388035,52408.655000,0.419158,50979.150000,1.275443,51895.070000,0.766817,0.678942,-2.067189,-0.307673,1.796656,-0.979962
bw_mem_bzero,sz16.78,MB/s,44188.665000,0.471988,44363.950000,0.478497,41826.875000,0.304087,43270.185000,0.467655,0.396674,-5.344787,-2.078542,3.450676,-2.465436
bw_mem_bzero,sz2.10,MB/s,48405.630000,5.625606,51069.010000,0.636247,50972.375000,0.397088,51010.720000,0.239459,5.502211,5.302575,5.381791,0.075227,-0.114140
bw_mem_bzero,sz33.55,MB/s,41608.780000,0.390002,41736.235000,0.328300,39678.685000,0.310620,40760.265000,0.351261,0.306318,-4.638672,-2.039269,2.725846,-2.338424
bw_mem_bzero,sz4.19,MB/s,48285.995000,1.348704,48395.560000,1.199325,48283.800000,0.738964,48276.930000,0.644832,0.226908,-0.004546,-0.018774,-0.014228,-0.245126
bw_mem_bzero,sz67.11,MB/s,41913.115000,0.249910,41913.100000,0.386609,40659.720000,0.269763,41328.650000,0.215069,-0.000036,-2.990460,-1.394468,1.645191,-1.394433
bw_mem_bzero,sz8.39,MB/s,46117.690000,0.521579,46059.585000,0.454259,44445.280000,0.579713,46038.575000,0.658274,-0.125993,-3.626396,-0.171550,3.584846,-0.045615
bw_mem_cp,sz0.000512,MB/s,25583.870000,0.000156,25583.870000,0.004866,25582.415000,0.004417,25584.360000,0.002502,0,-0.005687,0.001915,0.007603,0.001915
bw_mem_cp,sz0.001024,MB/s,27089.590000,0,27089.590000,0,27089.590000,0.000037,27089.590000,0.003322,0,0,0,0,0
bw_mem_cp,sz0.002048,MB/s,27909.295000,0.001738,27911.340000,0.003511,27908.810000,0.001218,27909.780000,0.001738,0.007327,-0.001738,0.001738,0.003476,-0.005589
bw_mem_cp,sz0.004096,MB/s,28340.220000,0,28339.580000,0.002258,28337.010000,0.006829,28337.650000,0,-0.002258,-0.011327,-0.009068,0.002259,-0.006810
bw_mem_cp,sz0.008192,MB/s,28558.605000,0.002434,28558.520000,0,28558.520000,0.002434,28557.915000,0.004535,-0.000298,-0.000298,-0.002416,-0.002118,-0.002118
bw_mem_cp,sz0.016384,MB/s,28669.025000,0.001273,28669.390000,0.002546,28667.720000,0.003279,28668.660000,0.007813,0.001273,-0.004552,-0.001273,0.003279,-0.002546
bw_mem_cp,sz0.032768,MB/s,28503.880000,0.011156,28501.880000,0.013613,28499.285000,0.013649,28500.580000,0.011579,-0.007017,-0.016121,-0.011577,0.004544,-0.004561
bw_mem_cp,sz0.065536,MB/s,18003.710000,0.042408,17984.300000,0.082600,17991.445000,0.109024,17987.580000,0.110882,-0.107811,-0.068125,-0.089593,-0.021482,0.018238
bw_mem_cp,sz0.131072,MB/s,18032.070000,0.297636,18025.360000,0.185489,18007.860000,0.184919,17991.555000,0.175527,-0.037211,-0.134261,-0.224683,-0.090544,-0.187541
bw_mem_cp,sz0.262144,MB/s,16833.960000,0.889630,16827.745000,1.552198,16610.080000,1.351288,16624.605000,1.816194,-0.036919,-1.329931,-1.243647,0.087447,-1.207173
bw_mem_cp,sz0.524288,MB/s,13730.540000,0.171807,13682.775000,0.344302,13667.625000,0.226009,13682.110000,0.250144,-0.347874,-0.458212,-0.352717,0.105980,-0.004860
bw_mem_cp,sz1.05,MB/s,12718.790000,0.564952,12685.960000,0.274358,12666.395000,0.267914,12693.615000,0.254262,-0.258122,-0.411950,-0.197935,0.214899,0.060342
bw_mem_cp,sz16.78,MB/s,6714.375000,0.138062,6712.495000,0.259888,6637.610000,0.134612,6683.885000,0.079669,-0.028000,-1.143293,-0.454100,0.697164,-0.426220
bw_mem_cp,sz2.10,MB/s,11657.215000,0.265243,11651.925000,0.230949,11661.070000,0.204355,11643.360000,0.185084,-0.045380,0.033070,-0.118853,-0.151873,-0.073507
bw_mem_cp,sz33.55,MB/s,6628.690000,0.102132,6622.805000,0.160883,6606.500000,0.081889,6611.275000,0.062469,-0.088781,-0.334757,-0.262722,0.072277,-0.174095
bw_mem_cp,sz4.19,MB/s,8361.265000,0.638241,8338.185000,0.241419,8223.745000,0.612434,8276.675000,0.193012,-0.276035,-1.644727,-1.011689,0.643624,-0.737691
bw_mem_cp,sz8.39,MB/s,6916.550000,0.745314,6538.740000,5.559404,6816.625000,0.451983,6649.700000,4.263877,-5.462405,-1.444723,-3.858137,-2.448792,1.696963
bw_mem_fcp,sz0.000512,MB/s,6977.325000,0.004586,6977.325000,0.001792,6976.810000,0.003440,6977.450000,0.001791,0,-0.007381,0.001792,0.009173,0.001792
bw_mem_fcp,sz0.001024,MB/s,7084.730000,0.004587,7084.570000,0.004940,7084.685000,0.004587,7085.060000,0.002258,-0.002258,-0.000635,0.004658,0.005293,0.006916
bw_mem_fcp,sz0.002048,MB/s,7139.630000,0.002731,7139.900000,0.003782,7139.630000,0.002101,7139.630000,0.006653,0.003782,0,0,0,-0.003782
bw_mem_fcp,sz0.004096,MB/s,7167.580000,0.004534,7167.160000,0.001325,7166.930000,0.005860,7167.255000,0.001325,-0.005860,-0.009069,-0.004534,0.004535,0.001325
bw_mem_fcp,sz0.008192,MB/s,7181.500000,0.004526,7181.500000,0.001741,7181.300000,0.006266,7181.300000,0.006336,0,-0.002785,-0.002785,0,-0.002785
bw_mem_fcp,sz0.016384,MB/s,7188.330000,0.004521,7188.370000,0.001113,7188.370000,0,7188.330000,0.003617,0.000556,0.000556,0,-0.000556,-0.000556
bw_mem_fcp,sz0.032768,MB/s,7191.960000,0.004519,7191.960000,0,7191.310000,0.009039,7191.960000,0,0,-0.009038,0,0.009039,0
bw_mem_fcp,sz0.065536,MB/s,7186.590000,0.005566,7186.515000,0.010088,7186.590000,0.006957,7186.190000,0.005566,-0.001044,0,-0.005566,-0.005566,-0.004522
bw_mem_fcp,sz0.131072,MB/s,7160.840000,0.000978,7160.700000,0.001955,7160.700000,0.001955,7160.190000,0.000978,-0.001955,-0.001955,-0.009077,-0.007122,-0.007122
bw_mem_fcp,sz0.262144,MB/s,7161.690000,0.002793,7161.490000,0.005585,7160.515000,0.020878,7161.490000,0.001745,-0.002793,-0.016407,-0.002793,0.013616,0
bw_mem_fcp,sz0.524288,MB/s,7162.080000,0.006283,7161.890000,0,7161.565000,0.009006,7161.565000,0.004538,-0.002653,-0.007191,-0.007191,0,-0.004538
bw_mem_fcp,sz1.05,MB/s,7162.020000,0.004538,7162.400000,0,7161.750000,0.004538,7162.020000,0.007121,0.005306,-0.003770,0,0.003770,-0.005305
bw_mem_fcp,sz16.78,MB/s,7150.190000,0.042656,7151.410000,0.008530,7152.630000,0.017057,7153.545000,0.012791,0.017062,0.034125,0.046922,0.012792,0.029854
bw_mem_fcp,sz2.10,MB/s,7154.300000,0.022504,7157.515000,0.026895,7156.875000,0.017955,7155.910000,0.008944,0.044938,0.035992,0.022504,-0.013484,-0.022424
bw_mem_fcp,sz33.55,MB/s,7149.890000,0.021329,7150.400000,0.007132,7150.400000,0.007132,7149.635000,0.003567,0.007133,0.007133,-0.003566,-0.010699,-0.010699
bw_mem_fcp,sz4.19,MB/s,7150.450000,0.053843,7152.700000,0.040404,7154.300000,0.026907,7153.340000,0.013420,0.031467,0.053843,0.040417,-0.013419,0.008948
bw_mem_fcp,sz8.39,MB/s,7153.240000,0.021319,7151.410000,0.034049,7153.850000,0.017054,7152.935000,0.008528,-0.025583,0.008528,-0.004264,-0.012790,0.021324
bw_mem_frd,sz0.000512,MB/s,9172.990000,0.008394,9201.360000,0.011629,9173.410000,0.007304,9172.230000,0.008286,0.309278,0.004579,-0.008285,-0.012863,-0.316584
bw_mem_frd,sz0.001024,MB/s,9285.135000,0.011901,9313.330000,0.024588,9283.870000,0.018204,9284.450000,0.011955,0.303657,-0.013624,-0.007377,0.006247,-0.310093
bw_mem_frd,sz0.002048,MB/s,9336.695000,0.005837,9365.725000,0.009289,9335.550000,0.012319,9335.850000,0.004499,0.310924,-0.012263,-0.009050,0.003214,-0.318982
bw_mem_frd,sz0.004096,MB/s,9364.230000,0.007048,9393.940000,0.002448,9362.765000,0.011642,9363.190000,0.004539,0.317271,-0.015645,-0.011106,0.004539,-0.327339
bw_mem_frd,sz0.008192,MB/s,9377.170000,0.006985,9406.555000,0.013661,9377.600000,0.006665,9377.175000,0.004586,0.313367,0.004586,0.000053,-0.004532,-0.312335
bw_mem_frd,sz0.016384,MB/s,9384.280000,0.011562,9413.955000,0.000850,9385.040000,0.005594,9383.655000,0.009112,0.316220,0.008099,-0.006660,-0.014758,-0.321863
bw_mem_frd,sz0.032768,MB/s,9387.775000,0.009693,9418.120000,0.005415,9387.405000,0.009055,9386.925000,0.013636,0.323240,-0.003941,-0.009054,-0.005113,-0.331223
bw_mem_frd,sz0.065536,MB/s,9387.375000,0.017896,9417.595000,0.009822,9388.255000,0.013634,9386.980000,0.002663,0.321922,0.009374,-0.004208,-0.013581,-0.325083
bw_mem_frd,sz0.131072,MB/s,9220.700000,0.021745,9237.720000,0.021813,9216.515000,0.016221,9217.350000,0.031734,0.184585,-0.045387,-0.036331,0.009060,-0.220509
bw_mem_frd,sz0.262144,MB/s,9224.380000,0.009106,9243.590000,0.009033,9224.030000,0.008348,9223.895000,0.009053,0.208252,-0.003794,-0.005258,-0.001464,-0.213067
bw_mem_frd,sz0.524288,MB/s,9218.040000,0.009004,9237.300000,0.016996,9216.420000,0.017577,9217.210000,0.018118,0.208938,-0.017574,-0.009004,0.008572,-0.217488
bw_mem_frd,sz1.05,MB/s,9217.210000,0.009005,9238.560000,0.004492,9216.370000,0.009114,9216.790000,0.004557,0.231632,-0.009113,-0.004557,0.004557,-0.235643
bw_mem_frd,sz16.78,MB/s,9079.420000,0.511707,9072.855000,0.265187,9044.320000,0.103269,9050.835000,0.295940,-0.072306,-0.386589,-0.314833,0.072034,-0.242702
bw_mem_frd,sz2.10,MB/s,9216.180000,0,9237.720000,0.008985,9216.140000,0.008463,9215.360000,0,0.233719,-0.000434,-0.008897,-0.008463,-0.242051
bw_mem_frd,sz33.55,MB/s,9161.830000,0.038693,9180,0.045643,9159.540000,0.091053,9157.040000,0.022715,0.198323,-0.024995,-0.052282,-0.027294,-0.250109
bw_mem_frd,sz4.19,MB/s,9217.425000,0.008625,9236.930000,0.008823,9215.820000,0.013021,9216.595000,0.004394,0.211610,-0.017413,-0.009005,0.008409,-0.220149
bw_mem_frd,sz67.11,MB/s,9150.690000,0.017048,9174.770000,0.051336,9153.495000,0.105752,9155.370000,0.030692,0.263150,0.030653,0.051144,0.020484,-0.211449
bw_mem_frd,sz8.39,MB/s,9116.400000,0.027149,9134.185000,0.036292,9120.115000,0.036239,9120.120000,0.063431,0.195088,0.040751,0.040806,0.000055,-0.153982
bw_mem_fwr,sz0.000512,MB/s,13544.800000,0,13543.910000,0.002584,13543.790000,0.004504,13544.410000,0.004578,-0.006571,-0.007457,-0.002879,0.004578,0.003692
bw_mem_fwr,sz0.001024,MB/s,13955.125000,0.003905,13955.670000,0.003511,13954.890000,0.004550,13955.670000,0.008097,0.003905,-0.001684,0.003905,0.005589,0
bw_mem_fwr,sz0.002048,MB/s,14169.470000,0.004517,14169.790000,0.002258,14168.820000,0.004517,14169.790000,0.002258,0.002258,-0.004587,0.002258,0.006846,0
bw_mem_fwr,sz0.004096,MB/s,14279.605000,0.002416,14279.260000,0.009104,14279.260000,0.007703,14279.260000,0.002101,-0.002416,-0.002416,-0.002416,0,0
bw_mem_fwr,sz0.008192,MB/s,14334.510000,0.004535,14334.690000,0.004534,14334.690000,0.003279,14334.690000,0.004534,0.001256,0.001256,0.001256,0,0
bw_mem_fwr,sz0.016384,MB/s,14363.500000,0.005570,14362.990000,0.003551,14362.990000,0.003551,14362.595000,0.002750,-0.003551,-0.003551,-0.006301,-0.002750,-0.002750
bw_mem_fwr,sz0.032768,MB/s,14377.310000,0.005077,14376.730000,0.001495,14376.730000,0.000522,14376.730000,0,-0.004034,-0.004034,-0.004034,0,0
