family,operation,size_mb,metric,unit,protected_median,nvhe_median,gap_protected_minus_nvhe,ratio_protected_over_nvhe,protected_n,nvhe_n
mmap_split,mmap_write_touch_unmap,0.5,per_iter,us,9.053508,12.653239,-3.599731,0.715509128,3,3
mmap_split,mmap_write_touch_unmap,1,per_iter,us,19.887624,16.21139,3.676234,1.22676859,3,3
mmap_split,mmap_write_touch_unmap,16,per_iter,us,146.661621,158.491414,-11.829793,0.925360039,3,3
mmap_split,mmap_write_touch_unmap,2,per_iter,us,30.523869,27.599113,2.924756,1.10597283,3,3
mmap_split,mmap_write_touch_unmap,4,per_iter,us,51.45223,50.918091,0.534139,1.01049016,3,3
mmap_split,mmap_write_touch_unmap,64,per_iter,us,644.21102,534.4869,109.72412,1.2052887,3,3
mmap_split,mmap_write_touch_unmap,8,per_iter,us,81.003337,90.326579,-9.323242,0.896782961,3,3
mmap_split,munmap_after_no_touch,0.5,per_iter,us,1.596829,2.071233,-0.474404,0.770955754,3,3
mmap_split,munmap_after_no_touch,1,per_iter,us,1.508707,2.30505,-0.796343,0.654522462,3,3
mmap_split,munmap_after_no_touch,16,per_iter,us,2.301308,1.616103,0.685205,1.42398597,3,3
mmap_split,munmap_after_no_touch,2,per_iter,us,2.702222,2.489744,0.212478,1.0853413,3,3
mmap_split,munmap_after_no_touch,4,per_iter,us,2.516025,1.616278,0.899747,1.55667837,3,3
mmap_split,munmap_after_no_touch,64,per_iter,us,1.726447,1.665127,0.06132,1.03682602,3,3
mmap_split,munmap_after_no_touch,8,per_iter,us,3.267345,1.571346,1.695999,2.0793288,3,3
mmap_split,munmap_after_read_touch,0.5,per_iter,us,4.251581,4.209315,0.042266,1.01004106,3,3
mmap_split,munmap_after_read_touch,1,per_iter,us,7.335847,5.033021,2.302826,1.45754349,3,3
mmap_split,munmap_after_read_touch,16,per_iter,us,33.889143,25.722399,8.166744,1.31749542,3,3
mmap_split,munmap_after_read_touch,2,per_iter,us,7.881855,7.105395,0.77646,1.10927753,3,3
mmap_split,munmap_after_read_touch,4,per_iter,us,9.234518,14.764108,-5.52959,0.62547077,3,3
mmap_split,munmap_after_read_touch,64,per_iter,us,95.872367,114.042007,-18.16964,0.840675901,3,3
mmap_split,munmap_after_read_touch,8,per_iter,us,18.858113,20.765301,-1.907188,0.908155052,3,3
mmap_split,munmap_after_write_touch,0.5,per_iter,us,5.182456,2.952047,2.230409,1.75554657,3,3
mmap_split,munmap_after_write_touch,1,per_iter,us,5.573948,5.440428,0.13352,1.02454219,3,3
mmap_split,munmap_after_write_touch,16,per_iter,us,15.708832,18.341759,-2.632927,0.856451772,3,3
mmap_split,munmap_after_write_touch,2,per_iter,us,7.44597,7.70497,-0.259,0.966385333,3,3
mmap_split,munmap_after_write_touch,4,per_iter,us,9.954569,11.559052,-1.604483,0.86119251,3,3
mmap_split,munmap_after_write_touch,64,per_iter,us,45.084497,44.74381,0.340687,1.00761417,3,3
mmap_split,munmap_after_write_touch,8,per_iter,us,14.218054,15.495063,-1.277009,0.917586072,3,3
mmap_split,openclose,0.5,per_iter,us,5.624675,2.448303,3.176372,2.297377,3,3
mmap_split,openclose,1,per_iter,us,4.776535,4.661031,0.115504,1.02478078,3,3
mmap_split,openclose,16,per_iter,us,5.825521,7.469075,-1.643554,0.779952136,3,3
mmap_split,openclose,2,per_iter,us,5.80953,2.708911,3.100619,2.1445998,3,3
mmap_split,openclose,4,per_iter,us,5.950534,5.210721,0.739813,1.14197901,3,3
mmap_split,openclose,64,per_iter,us,8.161213,8.458253,-0.29704,0.964881637,3,3
mmap_split,openclose,8,per_iter,us,7.922445,7.055929,0.866516,1.12280679,3,3
mmap_split,read_touch_cold,0.5,per_iter,us,2.824802,2.790596,0.034206,1.0122576,3,3
mmap_split,read_touch_cold,1,per_iter,us,5.564804,4.957723,0.607081,1.12245158,3,3
mmap_split,read_touch_cold,16,per_iter,us,62.450739,51.332651,11.118088,1.21658901,3,3
mmap_split,read_touch_cold,2,per_iter,us,8.91963,10.29538,-1.37575,0.866372101,3,3
mmap_split,read_touch_cold,4,per_iter,us,18.128619,17.27944,0.849179,1.0491439,3,3
mmap_split,read_touch_cold,64,per_iter,us,253.83954,266.588677,-12.749137,0.95217675,3,3
mmap_split,read_touch_cold,8,per_iter,us,36.021678,34.402321,1.619357,1.04707116,3,3
mmap_split,read_touch_hot,0.5,per_iter,us,0.010128,0.006771,0.003357,1.49579087,3,3
mmap_split,read_touch_hot,1,per_iter,us,0.012807,0.019216,-0.006409,0.666475853,3,3
mmap_split,read_touch_hot,16,per_iter,us,0.434326,1.211995,-0.777669,0.358356264,3,3
mmap_split,read_touch_hot,2,per_iter,us,0.065015,0.05376,0.011255,1.2093564,3,3
mmap_split,read_touch_hot,4,per_iter,us,0.098239,0.160034,-0.061795,0.613863304,3,3
mmap_split,read_touch_hot,64,per_iter,us,5.554607,5.487193,0.067414,1.0122857,3,3
mmap_split,read_touch_hot,8,per_iter,us,0.402933,0.188986,0.213947,2.13207857,3,3
mmap_split,write_touch_cold,0.5,per_iter,us,5.735032,5.193527,0.541505,1.10426537,3,3
mmap_split,write_touch_cold,1,per_iter,us,10.665655,7.747911,2.917744,1.3765846,3,3
mmap_split,write_touch_cold,16,per_iter,us,152.192008,141.387702,10.804306,1.07641617,3,3
mmap_split,write_touch_cold,2,per_iter,us,19.101389,17.592026,1.509363,1.08579813,3,3
mmap_split,write_touch_cold,4,per_iter,us,38.264904,35.245225,3.019679,1.08567626,3,3
mmap_split,write_touch_cold,64,per_iter,us,594.990277,572.52925,22.461027,1.03923123,3,3
mmap_split,write_touch_cold,8,per_iter,us,70.043767,70.107118,-0.063351,0.999096369,3,3
mmap_split,write_touch_hot,0.5,per_iter,us,0.00566,0.005676,-1.6e-05,0.997181113,3,3
mmap_split,write_touch_hot,1,per_iter,us,0.005107,0.005931,-0.000824,0.86106896,3,3
mmap_split,write_touch_hot,16,per_iter,us,0.349528,0.701213,-0.351685,0.498461951,3,3
mmap_split,write_touch_hot,2,per_iter,us,0.053288,0.057878,-0.00459,0.920695256,3,3
mmap_split,write_touch_hot,4,per_iter,us,0.157946,0.339844,-0.181898,0.464760302,3,3
mmap_split,write_touch_hot,64,per_iter,us,2.635363,2.932673,-0.29731,0.898621496,3,3
mmap_split,write_touch_hot,8,per_iter,us,0.397054,0.431437,-0.034383,0.920305862,3,3
