mode,family,label,operation,size_mb,run,metric,value,unit
protected,mmap_split,openclose-0.5MB-run-3,openclose,0.5,3,per_iter,5.624675,us
protected,mmap_split,mmap_unmap-0.5MB-run-1,mmap_unmap,0.5,1,per_iter,3.375435,us
protected,mmap_split,mmap_unmap-0.5MB-run-2,mmap_unmap,0.5,2,per_iter,5.079305,us
protected,mmap_split,mmap_unmap-0.5MB-run-3,mmap_unmap,0.5,3,per_iter,5.498849,us
protected,mmap_split,mmap_populate_unmap-0.5MB-run-1,mmap_populate_unmap,0.5,1,per_iter,25.385034,us
protected,mmap_split,mmap_populate_unmap-0.5MB-run-2,mmap_populate_unmap,0.5,2,per_iter,28.392509,us
protected,mmap_split,mmap_populate_unmap-0.5MB-run-3,mmap_populate_unmap,0.5,3,per_iter,27.764038,us
protected,mmap_split,mmap_write_touch_unmap-0.5MB-run-1,mmap_write_touch_unmap,0.5,1,per_iter,9.053508,us
protected,mmap_split,mmap_write_touch_unmap-0.5MB-run-2,mmap_write_touch_unmap,0.5,2,per_iter,8.953467,us
protected,mmap_split,mmap_write_touch_unmap-0.5MB-run-3,mmap_write_touch_unmap,0.5,3,per_iter,15.834884,us
protected,mmap_split,mmap_read_touch_unmap-0.5MB-run-1,mmap_read_touch_unmap,0.5,1,per_iter,10.568840,us
protected,mmap_split,mmap_read_touch_unmap-0.5MB-run-2,mmap_read_touch_unmap,0.5,2,per_iter,6.312968,us
protected,mmap_split,mmap_read_touch_unmap-0.5MB-run-3,mmap_read_touch_unmap,0.5,3,per_iter,7.158866,us
protected,mmap_split,write_touch_cold-0.5MB-run-1,write_touch_cold,0.5,1,per_iter,5.325016,us
protected,mmap_split,write_touch_cold-0.5MB-run-2,write_touch_cold,0.5,2,per_iter,5.735032,us
protected,mmap_split,write_touch_cold-0.5MB-run-3,write_touch_cold,0.5,3,per_iter,6.016847,us
protected,mmap_split,read_touch_cold-0.5MB-run-1,read_touch_cold,0.5,1,per_iter,2.824802,us
protected,mmap_split,read_touch_cold-0.5MB-run-2,read_touch_cold,0.5,2,per_iter,2.931430,us
protected,mmap_split,read_touch_cold-0.5MB-run-3,read_touch_cold,0.5,3,per_iter,2.032953,us
protected,mmap_split,write_touch_hot-0.5MB-run-1,write_touch_hot,0.5,1,per_iter,0.003353,us
protected,mmap_split,write_touch_hot-0.5MB-run-2,write_touch_hot,0.5,2,per_iter,0.007882,us
protected,mmap_split,write_touch_hot-0.5MB-run-3,write_touch_hot,0.5,3,per_iter,0.005660,us
protected,mmap_split,read_touch_hot-0.5MB-run-1,read_touch_hot,0.5,1,per_iter,0.011703,us
protected,mmap_split,read_touch_hot-0.5MB-run-2,read_touch_hot,0.5,2,per_iter,0.010128,us
protected,mmap_split,read_touch_hot-0.5MB-run-3,read_touch_hot,0.5,3,per_iter,0.010128,us
protected,mmap_split,munmap_after_no_touch-0.5MB-run-1,munmap_after_no_touch,0.5,1,per_iter,2.483803,us
protected,mmap_split,munmap_after_no_touch-0.5MB-run-2,munmap_after_no_touch,0.5,2,per_iter,1.596829,us
protected,mmap_split,munmap_after_no_touch-0.5MB-run-3,munmap_after_no_touch,0.5,3,per_iter,1.342400,us
protected,mmap_split,munmap_after_write_touch-0.5MB-run-1,munmap_after_write_touch,0.5,1,per_iter,5.623044,us
protected,mmap_split,munmap_after_write_touch-0.5MB-run-2,munmap_after_write_touch,0.5,2,per_iter,5.182456,us
protected,mmap_split,munmap_after_write_touch-0.5MB-run-3,munmap_after_write_touch,0.5,3,per_iter,3.130005,us
protected,mmap_split,munmap_after_read_touch-0.5MB-run-1,munmap_after_read_touch,0.5,1,per_iter,4.396923,us
protected,mmap_split,munmap_after_read_touch-0.5MB-run-2,munmap_after_read_touch,0.5,2,per_iter,2.981054,us
protected,mmap_split,munmap_after_read_touch-0.5MB-run-3,munmap_after_read_touch,0.5,3,per_iter,4.251581,us
protected,mmap_split,openclose-1MB-run-1,openclose,1,1,per_iter,2.936584,us
protected,mmap_split,openclose-1MB-run-2,openclose,1,2,per_iter,4.776535,us
protected,mmap_split,openclose-1MB-run-3,openclose,1,3,per_iter,5.723557,us
protected,mmap_split,mmap_unmap-1MB-run-1,mmap_unmap,1,1,per_iter,3.569738,us
protected,mmap_split,mmap_unmap-1MB-run-2,mmap_unmap,1,2,per_iter,3.146067,us
protected,mmap_split,mmap_unmap-1MB-run-3,mmap_unmap,1,3,per_iter,5.304103,us
protected,mmap_split,mmap_populate_unmap-1MB-run-1,mmap_populate_unmap,1,1,per_iter,51.817510,us
protected,mmap_split,mmap_populate_unmap-1MB-run-2,mmap_populate_unmap,1,2,per_iter,58.387288,us
protected,mmap_split,mmap_populate_unmap-1MB-run-3,mmap_populate_unmap,1,3,per_iter,60.018290,us
protected,mmap_split,mmap_write_touch_unmap-1MB-run-1,mmap_write_touch_unmap,1,1,per_iter,15.146571,us
protected,mmap_split,mmap_write_touch_unmap-1MB-run-2,mmap_write_touch_unmap,1,2,per_iter,19.887624,us
protected,mmap_split,mmap_write_touch_unmap-1MB-run-3,mmap_write_touch_unmap,1,3,per_iter,22.979858,us
protected,mmap_split,mmap_read_touch_unmap-1MB-run-1,mmap_read_touch_unmap,1,1,per_iter,11.128001,us
protected,mmap_split,mmap_read_touch_unmap-1MB-run-2,mmap_read_touch_unmap,1,2,per_iter,15.122040,us
protected,mmap_split,mmap_read_touch_unmap-1MB-run-3,mmap_read_touch_unmap,1,3,per_iter,14.013952,us
protected,mmap_split,write_touch_cold-1MB-run-1,write_touch_cold,1,1,per_iter,10.673991,us
protected,mmap_split,write_touch_cold-1MB-run-2,write_touch_cold,1,2,per_iter,10.665655,us
protected,mmap_split,write_touch_cold-1MB-run-3,write_touch_cold,1,3,per_iter,7.802889,us
protected,mmap_split,read_touch_cold-1MB-run-1,read_touch_cold,1,1,per_iter,7.105800,us
protected,mmap_split,read_touch_cold-1MB-run-2,read_touch_cold,1,2,per_iter,5.104278,us
protected,mmap_split,read_touch_cold-1MB-run-3,read_touch_cold,1,3,per_iter,5.564804,us
protected,mmap_split,write_touch_hot-1MB-run-1,write_touch_hot,1,1,per_iter,0.005107,us
protected,mmap_split,write_touch_hot-1MB-run-2,write_touch_hot,1,2,per_iter,0.005091,us
protected,mmap_split,write_touch_hot-1MB-run-3,write_touch_hot,1,3,per_iter,0.010839,us
protected,mmap_split,read_touch_hot-1MB-run-1,read_touch_hot,1,1,per_iter,0.013941,us
protected,mmap_split,read_touch_hot-1MB-run-2,read_touch_hot,1,2,per_iter,0.008290,us
protected,mmap_split,read_touch_hot-1MB-run-3,read_touch_hot,1,3,per_iter,0.012807,us
protected,mmap_split,munmap_after_no_touch-1MB-run-1,munmap_after_no_touch,1,1,per_iter,1.117897,us
protected,mmap_split,munmap_after_no_touch-1MB-run-2,munmap_after_no_touch,1,2,per_iter,1.508707,us
protected,mmap_split,munmap_after_no_touch-1MB-run-3,munmap_after_no_touch,1,3,per_iter,2.482156,us
protected,mmap_split,munmap_after_write_touch-1MB-run-1,munmap_after_write_touch,1,1,per_iter,4.965459,us
protected,mmap_split,munmap_after_write_touch-1MB-run-2,munmap_after_write_touch,1,2,per_iter,5.750765,us
protected,mmap_split,munmap_after_write_touch-1MB-run-3,munmap_after_write_touch,1,3,per_iter,5.573948,us
protected,mmap_split,munmap_after_read_touch-1MB-run-1,munmap_after_read_touch,1,1,per_iter,3.982976,us
protected,mmap_split,munmap_after_read_touch-1MB-run-2,munmap_after_read_touch,1,2,per_iter,7.335847,us
protected,mmap_split,munmap_after_read_touch-1MB-run-3,munmap_after_read_touch,1,3,per_iter,7.902949,us
protected,mmap_split,openclose-2MB-run-1,openclose,2,1,per_iter,3.651034,us
protected,mmap_split,openclose-2MB-run-2,openclose,2,2,per_iter,6.255233,us
protected,mmap_split,openclose-2MB-run-3,openclose,2,3,per_iter,5.809530,us
protected,mmap_split,mmap_unmap-2MB-run-1,mmap_unmap,2,1,per_iter,6.725277,us
protected,mmap_split,mmap_unmap-2MB-run-2,mmap_unmap,2,2,per_iter,4.181869,us
protected,mmap_split,mmap_unmap-2MB-run-3,mmap_unmap,2,3,per_iter,6.823714,us
protected,mmap_split,mmap_populate_unmap-2MB-run-1,mmap_populate_unmap,2,1,per_iter,86.858065,us
protected,mmap_split,mmap_populate_unmap-2MB-run-2,mmap_populate_unmap,2,2,per_iter,90.250928,us
protected,mmap_split,mmap_populate_unmap-2MB-run-3,mmap_populate_unmap,2,3,per_iter,91.655290,us
protected,mmap_split,mmap_write_touch_unmap-2MB-run-1,mmap_write_touch_unmap,2,1,per_iter,30.937769,us
protected,mmap_split,mmap_write_touch_unmap-2MB-run-2,mmap_write_touch_unmap,2,2,per_iter,29.779590,us
protected,mmap_split,mmap_write_touch_unmap-2MB-run-3,mmap_write_touch_unmap,2,3,per_iter,30.523869,us
protected,mmap_split,mmap_read_touch_unmap-2MB-run-1,mmap_read_touch_unmap,2,1,per_iter,16.111556,us
protected,mmap_split,mmap_read_touch_unmap-2MB-run-2,mmap_read_touch_unmap,2,2,per_iter,22.130412,us
protected,mmap_split,mmap_read_touch_unmap-2MB-run-3,mmap_read_touch_unmap,2,3,per_iter,19.870272,us
protected,mmap_split,write_touch_cold-2MB-run-1,write_touch_cold,2,1,per_iter,19.231009,us
protected,mmap_split,write_touch_cold-2MB-run-2,write_touch_cold,2,2,per_iter,19.101389,us
protected,mmap_split,write_touch_cold-2MB-run-3,write_touch_cold,2,3,per_iter,18.728789,us
protected,mmap_split,read_touch_cold-2MB-run-1,read_touch_cold,2,1,per_iter,8.853776,us
protected,mmap_split,read_touch_cold-2MB-run-2,read_touch_cold,2,2,per_iter,8.919630,us
protected,mmap_split,read_touch_cold-2MB-run-3,read_touch_cold,2,3,per_iter,10.375106,us
protected,mmap_split,write_touch_hot-2MB-run-1,write_touch_hot,2,1,per_iter,0.047363,us
protected,mmap_split,write_touch_hot-2MB-run-2,write_touch_hot,2,2,per_iter,0.143913,us
protected,mmap_split,write_touch_hot-2MB-run-3,write_touch_hot,2,3,per_iter,0.053288,us
protected,mmap_split,read_touch_hot-2MB-run-1,read_touch_hot,2,1,per_iter,0.030452,us
protected,mmap_split,read_touch_hot-2MB-run-2,read_touch_hot,2,2,per_iter,0.065885,us
protected,mmap_split,read_touch_hot-2MB-run-3,read_touch_hot,2,3,per_iter,0.065015,us
protected,mmap_split,munmap_after_no_touch-2MB-run-1,munmap_after_no_touch,2,1,per_iter,2.361677,us
protected,mmap_split,munmap_after_no_touch-2MB-run-2,munmap_after_no_touch,2,2,per_iter,3.007240,us
protected,mmap_split,munmap_after_no_touch-2MB-run-3,munmap_after_no_touch,2,3,per_iter,2.702222,us
protected,mmap_split,munmap_after_write_touch-2MB-run-1,munmap_after_write_touch,2,1,per_iter,8.316559,us
protected,mmap_split,munmap_after_write_touch-2MB-run-2,munmap_after_write_touch,2,2,per_iter,7.445970,us
protected,mmap_split,munmap_after_write_touch-2MB-run-3,munmap_after_write_touch,2,3,per_iter,6.096824,us
protected,mmap_split,munmap_after_read_touch-2MB-run-1,munmap_after_read_touch,2,1,per_iter,6.587411,us
protected,mmap_split,munmap_after_read_touch-2MB-run-2,munmap_after_read_touch,2,2,per_iter,10.128314,us
protected,mmap_split,munmap_after_read_touch-2MB-run-3,munmap_after_read_touch,2,3,per_iter,7.881855,us
protected,mmap_split,openclose-4MB-run-1,openclose,4,1,per_iter,5.950534,us
protected,mmap_split,openclose-4MB-run-2,openclose,4,2,per_iter,3.870389,us
protected,mmap_split,openclose-4MB-run-3,openclose,4,3,per_iter,6.408176,us
protected,mmap_split,mmap_unmap-4MB-run-1,mmap_unmap,4,1,per_iter,7.566664,us
protected,mmap_split,mmap_unmap-4MB-run-2,mmap_unmap,4,2,per_iter,6.429470,us
protected,mmap_split,mmap_unmap-4MB-run-3,mmap_unmap,4,3,per_iter,7.283339,us
protected,mmap_split,mmap_populate_unmap-4MB-run-1,mmap_populate_unmap,4,1,per_iter,174.841865,us
protected,mmap_split,mmap_populate_unmap-4MB-run-2,mmap_populate_unmap,4,2,per_iter,166.928996,us
protected,mmap_split,mmap_populate_unmap-4MB-run-3,mmap_populate_unmap,4,3,per_iter,173.371406,us
protected,mmap_split,mmap_write_touch_unmap-4MB-run-1,mmap_write_touch_unmap,4,1,per_iter,51.452230,us
protected,mmap_split,mmap_write_touch_unmap-4MB-run-2,mmap_write_touch_unmap,4,2,per_iter,45.250082,us
protected,mmap_split,mmap_write_touch_unmap-4MB-run-3,mmap_write_touch_unmap,4,3,per_iter,52.112481,us
protected,mmap_split,mmap_read_touch_unmap-4MB-run-1,mmap_read_touch_unmap,4,1,per_iter,25.902425,us
protected,mmap_split,mmap_read_touch_unmap-4MB-run-2,mmap_read_touch_unmap,4,2,per_iter,25.784207,us
protected,mmap_split,mmap_read_touch_unmap-4MB-run-3,mmap_read_touch_unmap,4,3,per_iter,26.144911,us
protected,mmap_split,write_touch_cold-4MB-run-1,write_touch_cold,4,1,per_iter,38.351542,us
protected,mmap_split,write_touch_cold-4MB-run-2,write_touch_cold,4,2,per_iter,35.028126,us
protected,mmap_split,write_touch_cold-4MB-run-3,write_touch_cold,4,3,per_iter,38.264904,us
protected,mmap_split,read_touch_cold-4MB-run-1,read_touch_cold,4,1,per_iter,17.310060,us
protected,mmap_split,read_touch_cold-4MB-run-2,read_touch_cold,4,2,per_iter,18.603126,us
protected,mmap_split,read_touch_cold-4MB-run-3,read_touch_cold,4,3,per_iter,18.128619,us
protected,mmap_split,write_touch_hot-4MB-run-1,write_touch_hot,4,1,per_iter,0.157946,us
protected,mmap_split,write_touch_hot-4MB-run-2,write_touch_hot,4,2,per_iter,0.261434,us
protected,mmap_split,write_touch_hot-4MB-run-3,write_touch_hot,4,3,per_iter,0.120280,us
protected,mmap_split,read_touch_hot-4MB-run-1,read_touch_hot,4,1,per_iter,0.098239,us
protected,mmap_split,read_touch_hot-4MB-run-2,read_touch_hot,4,2,per_iter,0.133803,us
protected,mmap_split,read_touch_hot-4MB-run-3,read_touch_hot,4,3,per_iter,0.069919,us
protected,mmap_split,munmap_after_no_touch-4MB-run-1,munmap_after_no_touch,4,1,per_iter,2.985638,us
protected,mmap_split,munmap_after_no_touch-4MB-run-2,munmap_after_no_touch,4,2,per_iter,2.243317,us
protected,mmap_split,munmap_after_no_touch-4MB-run-3,munmap_after_no_touch,4,3,per_iter,2.516025,us
protected,mmap_split,munmap_after_write_touch-4MB-run-1,munmap_after_write_touch,4,1,per_iter,8.735684,us
protected,mmap_split,munmap_after_write_touch-4MB-run-2,munmap_after_write_touch,4,2,per_iter,10.099884,us
protected,mmap_split,munmap_after_write_touch-4MB-run-3,munmap_after_write_touch,4,3,per_iter,9.954569,us
protected,mmap_split,munmap_after_read_touch-4MB-run-1,munmap_after_read_touch,4,1,per_iter,9.095184,us
protected,mmap_split,munmap_after_read_touch-4MB-run-2,munmap_after_read_touch,4,2,per_iter,9.234518,us
protected,mmap_split,munmap_after_read_touch-4MB-run-3,munmap_after_read_touch,4,3,per_iter,9.834925,us
protected,mmap_split,openclose-8MB-run-1,openclose,8,1,per_iter,8.023417,us
protected,mmap_split,openclose-8MB-run-2,openclose,8,2,per_iter,7.922445,us
protected,mmap_split,openclose-8MB-run-3,openclose,8,3,per_iter,7.723836,us
protected,mmap_split,mmap_unmap-8MB-run-1,mmap_unmap,8,1,per_iter,5.028646,us
protected,mmap_split,mmap_unmap-8MB-run-2,mmap_unmap,8,2,per_iter,6.280476,us
protected,mmap_split,mmap_unmap-8MB-run-3,mmap_unmap,8,3,per_iter,8.985717,us
protected,mmap_split,mmap_populate_unmap-8MB-run-1,mmap_populate_unmap,8,1,per_iter,335.246582,us
protected,mmap_split,mmap_populate_unmap-8MB-run-2,mmap_populate_unmap,8,2,per_iter,335.566406,us
protected,mmap_split,mmap_populate_unmap-8MB-run-3,mmap_populate_unmap,8,3,per_iter,318.658061,us
protected,mmap_split,mmap_write_touch_unmap-8MB-run-1,mmap_write_touch_unmap,8,1,per_iter,78.022543,us
protected,mmap_split,mmap_write_touch_unmap-8MB-run-2,mmap_write_touch_unmap,8,2,per_iter,81.003337,us
protected,mmap_split,mmap_write_touch_unmap-8MB-run-3,mmap_write_touch_unmap,8,3,per_iter,93.041300,us
protected,mmap_split,mmap_read_touch_unmap-8MB-run-1,mmap_read_touch_unmap,8,1,per_iter,62.169779,us
protected,mmap_split,mmap_read_touch_unmap-8MB-run-2,mmap_read_touch_unmap,8,2,per_iter,58.008851,us
protected,mmap_split,mmap_read_touch_unmap-8MB-run-3,mmap_read_touch_unmap,8,3,per_iter,44.703593,us
protected,mmap_split,write_touch_cold-8MB-run-1,write_touch_cold,8,1,per_iter,63.090921,us
protected,mmap_split,write_touch_cold-8MB-run-2,write_touch_cold,8,2,per_iter,75.616456,us
protected,mmap_split,write_touch_cold-8MB-run-3,write_touch_cold,8,3,per_iter,70.043767,us
protected,mmap_split,read_touch_cold-8MB-run-1,read_touch_cold,8,1,per_iter,36.021678,us
protected,mmap_split,read_touch_cold-8MB-run-2,read_touch_cold,8,2,per_iter,26.976206,us
protected,mmap_split,read_touch_cold-8MB-run-3,read_touch_cold,8,3,per_iter,36.210518,us
protected,mmap_split,write_touch_hot-8MB-run-1,write_touch_hot,8,1,per_iter,0.397054,us
protected,mmap_split,write_touch_hot-8MB-run-2,write_touch_hot,8,2,per_iter,0.134176,us
protected,mmap_split,write_touch_hot-8MB-run-3,write_touch_hot,8,3,per_iter,0.397115,us
protected,mmap_split,read_touch_hot-8MB-run-1,read_touch_hot,8,1,per_iter,0.489339,us
protected,mmap_split,read_touch_hot-8MB-run-2,read_touch_hot,8,2,per_iter,0.402933,us
protected,mmap_split,read_touch_hot-8MB-run-3,read_touch_hot,8,3,per_iter,0.178040,us
protected,mmap_split,munmap_after_no_touch-8MB-run-1,munmap_after_no_touch,8,1,per_iter,3.842820,us
protected,mmap_split,munmap_after_no_touch-8MB-run-2,munmap_after_no_touch,8,2,per_iter,1.143360,us
protected,mmap_split,munmap_after_no_touch-8MB-run-3,munmap_after_no_touch,8,3,per_iter,3.267345,us
protected,mmap_split,munmap_after_write_touch-8MB-run-1,munmap_after_write_touch,8,1,per_iter,14.218054,us
protected,mmap_split,munmap_after_write_touch-8MB-run-2,munmap_after_write_touch,8,2,per_iter,15.651731,us
protected,mmap_split,munmap_after_write_touch-8MB-run-3,munmap_after_write_touch,8,3,per_iter,13.902997,us
protected,mmap_split,munmap_after_read_touch-8MB-run-1,munmap_after_read_touch,8,1,per_iter,18.858113,us
protected,mmap_split,munmap_after_read_touch-8MB-run-2,munmap_after_read_touch,8,2,per_iter,22.295137,us
protected,mmap_split,munmap_after_read_touch-8MB-run-3,munmap_after_read_touch,8,3,per_iter,14.106916,us
protected,mmap_split,openclose-16MB-run-1,openclose,16,1,per_iter,6.665609,us
protected,mmap_split,openclose-16MB-run-2,openclose,16,2,per_iter,5.651123,us
protected,mmap_split,openclose-16MB-run-3,openclose,16,3,per_iter,5.825521,us
protected,mmap_split,mmap_unmap-16MB-run-1,mmap_unmap,16,1,per_iter,3.079346,us
protected,mmap_split,mmap_unmap-16MB-run-2,mmap_unmap,16,2,per_iter,5.297688,us
protected,mmap_split,mmap_unmap-16MB-run-3,mmap_unmap,16,3,per_iter,4.520548,us
protected,mmap_split,mmap_populate_unmap-16MB-run-1,mmap_populate_unmap,16,1,per_iter,632.019084,us
protected,mmap_split,mmap_populate_unmap-16MB-run-2,mmap_populate_unmap,16,2,per_iter,664.239259,us
protected,mmap_split,mmap_populate_unmap-16MB-run-3,mmap_populate_unmap,16,3,per_iter,652.575196,us
protected,mmap_split,mmap_write_touch_unmap-16MB-run-1,mmap_write_touch_unmap,16,1,per_iter,146.661621,us
protected,mmap_split,mmap_write_touch_unmap-16MB-run-2,mmap_write_touch_unmap,16,2,per_iter,140.414184,us
protected,mmap_split,mmap_write_touch_unmap-16MB-run-3,mmap_write_touch_unmap,16,3,per_iter,167.456137,us
protected,mmap_split,mmap_read_touch_unmap-16MB-run-1,mmap_read_touch_unmap,16,1,per_iter,80.551066,us
protected,mmap_split,mmap_read_touch_unmap-16MB-run-2,mmap_read_touch_unmap,16,2,per_iter,76.692016,us
protected,mmap_split,mmap_read_touch_unmap-16MB-run-3,mmap_read_touch_unmap,16,3,per_iter,107.618083,us
protected,mmap_split,write_touch_cold-16MB-run-1,write_touch_cold,16,1,per_iter,123.521111,us
protected,mmap_split,write_touch_cold-16MB-run-2,write_touch_cold,16,2,per_iter,152.192008,us
protected,mmap_split,write_touch_cold-16MB-run-3,write_touch_cold,16,3,per_iter,154.556850,us
protected,mmap_split,read_touch_cold-16MB-run-1,read_touch_cold,16,1,per_iter,62.450739,us
protected,mmap_split,read_touch_cold-16MB-run-2,read_touch_cold,16,2,per_iter,63.731258,us
protected,mmap_split,read_touch_cold-16MB-run-3,read_touch_cold,16,3,per_iter,57.322673,us
protected,mmap_split,write_touch_hot-16MB-run-1,write_touch_hot,16,1,per_iter,0.349528,us
protected,mmap_split,write_touch_hot-16MB-run-2,write_touch_hot,16,2,per_iter,0.366496,us
protected,mmap_split,write_touch_hot-16MB-run-3,write_touch_hot,16,3,per_iter,0.337931,us
protected,mmap_split,read_touch_hot-16MB-run-1,read_touch_hot,16,1,per_iter,0.445028,us
protected,mmap_split,read_touch_hot-16MB-run-2,read_touch_hot,16,2,per_iter,0.434326,us
protected,mmap_split,read_touch_hot-16MB-run-3,read_touch_hot,16,3,per_iter,0.330363,us
protected,mmap_split,munmap_after_no_touch-16MB-run-1,munmap_after_no_touch,16,1,per_iter,2.106673,us
protected,mmap_split,munmap_after_no_touch-16MB-run-2,munmap_after_no_touch,16,2,per_iter,2.301308,us
protected,mmap_split,munmap_after_no_touch-16MB-run-3,munmap_after_no_touch,16,3,per_iter,2.686091,us
protected,mmap_split,munmap_after_write_touch-16MB-run-1,munmap_after_write_touch,16,1,per_iter,21.464924,us
protected,mmap_split,munmap_after_write_touch-16MB-run-2,munmap_after_write_touch,16,2,per_iter,15.561783,us
protected,mmap_split,munmap_after_write_touch-16MB-run-3,munmap_after_write_touch,16,3,per_iter,15.708832,us
protected,mmap_split,munmap_after_read_touch-16MB-run-1,munmap_after_read_touch,16,1,per_iter,34.773122,us
protected,mmap_split,munmap_after_read_touch-16MB-run-2,munmap_after_read_touch,16,2,per_iter,33.889143,us
protected,mmap_split,munmap_after_read_touch-16MB-run-3,munmap_after_read_touch,16,3,per_iter,32.411098,us
protected,mmap_split,openclose-64MB-run-1,openclose,64,1,per_iter,8.161213,us
protected,mmap_split,openclose-64MB-run-2,openclose,64,2,per_iter,5.173747,us
protected,mmap_split,openclose-64MB-run-3,openclose,64,3,per_iter,10.602487,us
protected,mmap_split,mmap_unmap-64MB-run-1,mmap_unmap,64,1,per_iter,6.137153,us
protected,mmap_split,mmap_unmap-64MB-run-2,mmap_unmap,64,2,per_iter,8.828533,us
protected,mmap_split,mmap_unmap-64MB-run-3,mmap_unmap,64,3,per_iter,8.307970,us
protected,mmap_split,mmap_populate_unmap-64MB-run-1,mmap_populate_unmap,64,1,per_iter,2606.109077,us
protected,mmap_split,mmap_populate_unmap-64MB-run-2,mmap_populate_unmap,64,2,per_iter,2628.602297,us
protected,mmap_split,mmap_populate_unmap-64MB-run-3,mmap_populate_unmap,64,3,per_iter,2626.785213,us
protected,mmap_split,mmap_write_touch_unmap-64MB-run-1,mmap_write_touch_unmap,64,1,per_iter,579.999863,us
protected,mmap_split,mmap_write_touch_unmap-64MB-run-2,mmap_write_touch_unmap,64,2,per_iter,644.443223,us
protected,mmap_split,mmap_write_touch_unmap-64MB-run-3,mmap_write_touch_unmap,64,3,per_iter,644.211020,us
protected,mmap_split,mmap_read_touch_unmap-64MB-run-1,mmap_read_touch_unmap,64,1,per_iter,398.596057,us
protected,mmap_split,mmap_read_touch_unmap-64MB-run-2,mmap_read_touch_unmap,64,2,per_iter,403.006730,us
