phase,metric,unit,pairs,nvhe_boot_median,protected_boot_median,median_penalty_pct,mad_penalty_pct,min_penalty_pct,max_penalty_pct,worse_pairs,better_pairs,exact_sign_p_two_sided,bootstrap95_low_pct,bootstrap95_high_pct,bootstrap_interval_is_descriptive,nvhe_first_median_penalty_pct,protected_first_median_penalty_pct,order_group_gap_pct,pair_index_spearman_rho,pair_index_permutation_p_two_sided
start,lat_mmap:4,us,5,26.809413,36.535627,36.88499501001004,2.4125364477213935,31.614703316514724,43.6000966900826,5,0,0.0625,31.614703316514724,43.6000966900826,True,36.88499501001004,36.018624852431174,0.8663701575788636,-0.6,0.35
end,lat_mmap:4,us,5,25.717814,34.828569,36.815338372021486,1.1859396526193322,34.44283443822174,38.00127802464082,5,0,0.0625,34.44283443822174,38.00127802464082,True,35.36435300528671,37.408308198331156,-2.0439551930444466,0.0,1.0
start,lat_mmap:64,us,5,323.446333,480.400067,48.52543312030686,2.165639594207164,46.35979352609969,61.416410635341265,5,0,0.0625,46.35979352609969,61.416410635341265,True,60.785287175434476,47.442613323203275,13.3426738522312,-0.6,0.35
end,lat_mmap:64,us,5,323.771753,475.321767,46.80767009344389,0.6208643451973899,45.37220571721472,47.754261338822744,5,0,0.0625,45.37220571721472,47.754261338822744,True,46.1868057482465,47.068863854029885,-0.8820581057833863,-0.7,0.23333333333333334
start,lat_mmap:8,us,5,45.84305,65.58366,42.99102382313114,0.22174835377524005,40.75080436381546,43.70189022901978,5,0,0.0625,40.75080436381546,43.70189022901978,True,42.99102382313114,43.235582849187836,-0.24455902605669877,0.1,0.95
end,lat_mmap:8,us,5,45.844654,64.880001,41.45868131102046,0.9272948782082366,40.3824327040978,44.59472370562929,5,0,0.0625,40.3824327040978,44.59472370562929,True,41.45868131102046,41.739510720608095,-0.28082940958763203,-0.6,0.35
start,op:dense-1.9,us,5,69.1,120.1,73.80607814761215,1.7719565344687567,68.87966804979253,75.57803468208091,5,0,0.0625,68.87966804979253,75.57803468208091,True,69.57163958641061,74.66580183656885,-5.094162250158234,0.7,0.23333333333333334
end,op:dense-1.9,us,5,67.4,111.9,66.76514032496308,0.7414014525595292,63.250366032210835,69.84848484848484,5,0,0.0625,63.250366032210835,69.84848484848484,True,66.81681681681681,65.00775317858697,1.8090636382298442,-0.2,0.7833333333333333
start,op:dense-2.0,us,5,66.0,67.9,5.2790346907994,0.8147153092006088,-0.7507507507507505,25.45454545454544,4,1,0.375,-0.7507507507507505,25.45454545454544,True,6.093750000000009,5.12013750043846,0.9736124995615487,-0.5,0.45
end,op:dense-2.0,us,5,65.0,64.7,-0.4615384615384577,0.30065666041275696,-0.7621951219512146,0.6250000000000089,2,3,1.0,-0.7621951219512146,0.6250000000000089,True,-0.6201550387596955,-0.07948330036075535,-0.5406717383989401,-0.1,0.95
start,op:sparse-6.4,us,5,73.1,230.3,215.13067400275102,3.1503628321739825,211.21621621621625,222.2841225626741,5,0,0.0625,211.21621621621625,222.2841225626741,True,215.13067400275102,216.75016938944518,-1.6194953866941546,-0.6,0.35
end,op:sparse-6.4,us,5,71.8,223.5,211.87150837988833,0.5901713325345668,204.50819672131146,278.37465564738295,5,0,0.0625,204.50819672131146,278.37465564738295,True,211.28133704735376,245.33257922033954,-34.05124217298578,0.3,0.6833333333333333
