project,scenario,metric,unit,higher_better,pair,first_mode,nvhe_boot_median,protected_boot_median,raw_delta_pct,penalty_pct
rabbitmq,q2-reliable,consumer_p95,us,False,5,nvhe,7121329.0,5805966.0,-18.470751737491696,-18.470751737491696
rabbitmq,q2-reliable,consumer_p99,us,False,1,nvhe,7254384.0,6763403.0,-6.768059148785066,-6.768059148785066
rabbitmq,q2-reliable,consumer_p99,us,False,2,protected,8288071.0,4704988.0,-43.231808704341454,-43.231808704341454
rabbitmq,q2-reliable,consumer_p99,us,False,3,nvhe,8204862.0,9103796.0,10.956113582410044,10.956113582410044
rabbitmq,q2-reliable,consumer_p99,us,False,4,protected,8147237.0,5900905.0,-27.571703143041006,-27.571703143041006
rabbitmq,q2-reliable,consumer_p99,us,False,5,nvhe,7169071.0,5906542.0,-17.610775510522913,-17.610775510522913
rabbitmq,q2-reliable,published,msg/s,True,1,nvhe,51459.0,50532.0,-1.8014341514603904,1.8014341514603904
rabbitmq,q2-reliable,published,msg/s,True,2,protected,51390.0,50572.0,-1.591749367581241,1.591749367581241
rabbitmq,q2-reliable,published,msg/s,True,3,nvhe,51878.0,50130.0,-3.3694436948224715,3.3694436948224715
rabbitmq,q2-reliable,published,msg/s,True,4,protected,51834.0,51027.0,-1.556893158930428,1.556893158930428
rabbitmq,q2-reliable,published,msg/s,True,5,nvhe,51535.0,50926.0,-1.1817211603764477,1.1817211603764477
rabbitmq,q2-reliable,received,msg/s,True,1,nvhe,50931.0,50192.0,-1.4509827020871335,1.4509827020871335
rabbitmq,q2-reliable,received,msg/s,True,2,protected,50576.0,50155.0,-0.8324106295476086,0.8324106295476086
rabbitmq,q2-reliable,received,msg/s,True,3,nvhe,50924.0,49544.0,-2.7099206660906483,2.7099206660906483
rabbitmq,q2-reliable,received,msg/s,True,4,protected,50797.0,50093.0,-1.3859086166505885,1.3859086166505885
rabbitmq,q2-reliable,received,msg/s,True,5,nvhe,51112.0,50485.0,-1.22671779621224,1.22671779621224
rabbitmq,q3-rate50,confirm_p95,us,False,1,nvhe,960.0,983.0,2.3958333333333304,2.3958333333333304
rabbitmq,q3-rate50,confirm_p95,us,False,2,protected,950.0,986.0,3.7894736842105203,3.7894736842105203
rabbitmq,q3-rate50,confirm_p95,us,False,3,nvhe,951.0,961.0,1.051524710830698,1.051524710830698
rabbitmq,q3-rate50,confirm_p95,us,False,4,protected,945.0,981.0,3.809523809523818,3.809523809523818
rabbitmq,q3-rate50,confirm_p95,us,False,5,nvhe,955.0,984.0,3.0366492146596924,3.0366492146596924
rabbitmq,q3-rate50,confirm_p99,us,False,1,nvhe,1081.0,1157.0,7.0305272895467175,7.0305272895467175
rabbitmq,q3-rate50,confirm_p99,us,False,2,protected,1069.0,1133.0,5.986903648269415,5.986903648269415
rabbitmq,q3-rate50,confirm_p99,us,False,3,nvhe,1066.0,1095.0,2.72045028142589,2.72045028142589
rabbitmq,q3-rate50,confirm_p99,us,False,4,protected,1064.0,1145.0,7.6127819548872155,7.6127819548872155
rabbitmq,q3-rate50,confirm_p99,us,False,5,nvhe,1083.0,1184.0,9.32594644506002,9.32594644506002
rabbitmq,q3-rate50,consumer_p95,us,False,1,nvhe,822.0,840.0,2.1897810218978186,2.1897810218978186
rabbitmq,q3-rate50,consumer_p95,us,False,2,protected,811.0,846.0,4.315659679408146,4.315659679408146
rabbitmq,q3-rate50,consumer_p95,us,False,3,nvhe,814.0,820.0,0.7371007371007376,0.7371007371007376
rabbitmq,q3-rate50,consumer_p95,us,False,4,protected,809.0,833.0,2.966625463535233,2.966625463535233
rabbitmq,q3-rate50,consumer_p95,us,False,5,nvhe,816.0,838.0,2.6960784313725394,2.6960784313725394
rabbitmq,q3-rate50,consumer_p99,us,False,1,nvhe,926.0,957.0,3.347732181425478,3.347732181425478
rabbitmq,q3-rate50,consumer_p99,us,False,2,protected,919.0,958.0,4.243743199129479,4.243743199129479
rabbitmq,q3-rate50,consumer_p99,us,False,3,nvhe,917.0,929.0,1.3086150490730697,1.3086150490730697
rabbitmq,q3-rate50,consumer_p99,us,False,4,protected,913.0,953.0,4.381161007667034,4.381161007667034
rabbitmq,q3-rate50,consumer_p99,us,False,5,nvhe,925.0,961.0,3.8918918918918965,3.8918918918918965
rabbitmq,q3-rate50,published,msg/s,True,1,nvhe,24403.0,24401.0,-0.008195713641767632,0.008195713641767632
rabbitmq,q3-rate50,published,msg/s,True,2,protected,24401.0,24403.0,0.00819638539404366,-0.00819638539404366
rabbitmq,q3-rate50,published,msg/s,True,3,nvhe,24402.0,24403.0,0.004098024752074991,-0.004098024752074991
rabbitmq,q3-rate50,published,msg/s,True,4,protected,24402.0,24401.0,-0.004098024752074991,0.004098024752074991
rabbitmq,q3-rate50,published,msg/s,True,5,nvhe,24403.0,24402.0,-0.004097856820883816,0.004097856820883816
rabbitmq,q3-rate50,received,msg/s,True,1,nvhe,24405.0,24399.0,-0.024585125998766166,0.024585125998766166
rabbitmq,q3-rate50,received,msg/s,True,2,protected,24401.0,24402.0,0.00409819269702183,-0.00409819269702183
rabbitmq,q3-rate50,received,msg/s,True,3,nvhe,24401.0,24401.0,0.0,-0.0
rabbitmq,q3-rate50,received,msg/s,True,4,protected,24402.0,24400.0,-0.00819604950413888,0.00819604950413888
rabbitmq,q3-rate50,received,msg/s,True,5,nvhe,24404.0,24400.0,-0.016390755613837626,0.016390755613837626
rabbitmq,q3-rate70,confirm_p95,us,False,1,nvhe,1469.0,1489.0,1.3614703880190593,1.3614703880190593
rabbitmq,q3-rate70,confirm_p95,us,False,2,protected,1344.0,1718.0,27.827380952380953,27.827380952380953
rabbitmq,q3-rate70,confirm_p95,us,False,3,nvhe,1440.0,1468.0,1.9444444444444375,1.9444444444444375
rabbitmq,q3-rate70,confirm_p95,us,False,4,protected,1458.0,1490.0,2.1947873799725626,2.1947873799725626
rabbitmq,q3-rate70,confirm_p95,us,False,5,nvhe,1454.0,1639.0,12.723521320495191,12.723521320495191
rabbitmq,q3-rate70,confirm_p99,us,False,1,nvhe,2043.0,2100.0,2.7900146842878115,2.7900146842878115
rabbitmq,q3-rate70,confirm_p99,us,False,2,protected,1954.0,2265.0,15.916069600818838,15.916069600818838
rabbitmq,q3-rate70,confirm_p99,us,False,3,nvhe,2063.0,2076.0,0.6301502666020253,0.6301502666020253
rabbitmq,q3-rate70,confirm_p99,us,False,4,protected,2042.0,2073.0,1.518119490695402,1.518119490695402
rabbitmq,q3-rate70,confirm_p99,us,False,5,nvhe,2094.0,2230.0,6.494746895893022,6.494746895893022
rabbitmq,q3-rate70,consumer_p95,us,False,1,nvhe,1045.0,1043.0,-0.191387559808609,-0.191387559808609
rabbitmq,q3-rate70,consumer_p95,us,False,2,protected,999.0,1163.0,16.416416416416425,16.416416416416425
rabbitmq,q3-rate70,consumer_p95,us,False,3,nvhe,1025.0,1029.0,0.39024390243902474,0.39024390243902474
rabbitmq,q3-rate70,consumer_p95,us,False,4,protected,1031.0,1045.0,1.3579049466537318,1.3579049466537318
rabbitmq,q3-rate70,consumer_p95,us,False,5,nvhe,1023.0,1116.0,9.090909090909083,9.090909090909083
rabbitmq,q3-rate70,consumer_p99,us,False,1,nvhe,1444.0,1524.0,5.540166204986141,5.540166204986141
rabbitmq,q3-rate70,consumer_p99,us,False,2,protected,1314.0,1724.0,31.202435312024356,31.202435312024356
rabbitmq,q3-rate70,consumer_p99,us,False,3,nvhe,1477.0,1472.0,-0.3385240352065,-0.3385240352065
rabbitmq,q3-rate70,consumer_p99,us,False,4,protected,1439.0,1499.0,4.169562195969423,4.169562195969423
rabbitmq,q3-rate70,consumer_p99,us,False,5,nvhe,1480.0,1668.0,12.702702702702705,12.702702702702705
rabbitmq,q3-rate70,published,msg/s,True,1,nvhe,34173.0,34172.0,-0.0029262868346369153,0.0029262868346369153
rabbitmq,q3-rate70,published,msg/s,True,2,protected,34173.0,34173.0,0.0,-0.0
rabbitmq,q3-rate70,published,msg/s,True,3,nvhe,34172.0,34175.0,0.00877911740606585,-0.00877911740606585
rabbitmq,q3-rate70,published,msg/s,True,4,protected,34173.0,34174.0,0.002926286834625813,-0.002926286834625813
rabbitmq,q3-rate70,published,msg/s,True,5,nvhe,34173.0,34173.0,0.0,-0.0
rabbitmq,q3-rate70,received,msg/s,True,1,nvhe,34170.0,34171.0,0.0029265437518244397,-0.0029265437518244397
rabbitmq,q3-rate70,received,msg/s,True,2,protected,34171.0,34174.0,0.008779374323264477,-0.008779374323264477
rabbitmq,q3-rate70,received,msg/s,True,3,nvhe,34173.0,34174.0,0.002926286834625813,-0.002926286834625813
rabbitmq,q3-rate70,received,msg/s,True,4,protected,34171.0,34174.0,0.008779374323264477,-0.008779374323264477
rabbitmq,q3-rate70,received,msg/s,True,5,nvhe,34172.0,34172.0,0.0,-0.0
rabbitmq,q3-rate85,confirm_p95,us,False,1,nvhe,2583.0,3039.0,17.653890824622543,17.653890824622543
rabbitmq,q3-rate85,confirm_p95,us,False,2,protected,2603.0,3038.0,16.711486746062242,16.711486746062242
rabbitmq,q3-rate85,confirm_p95,us,False,3,nvhe,2400.0,2986.0,24.416666666666664,24.416666666666664
rabbitmq,q3-rate85,confirm_p95,us,False,4,protected,2511.0,2788.0,11.03146156909598,11.03146156909598
rabbitmq,q3-rate85,confirm_p95,us,False,5,nvhe,2747.0,2891.0,5.242082271568993,5.242082271568993
rabbitmq,q3-rate85,confirm_p99,us,False,1,nvhe,3493.0,4105.0,17.520755797308894,17.520755797308894
rabbitmq,q3-rate85,confirm_p99,us,False,2,protected,3495.0,4084.0,16.85264663805437,16.85264663805437
rabbitmq,q3-rate85,confirm_p99,us,False,3,nvhe,3262.0,3989.0,22.286940527283882,22.286940527283882
rabbitmq,q3-rate85,confirm_p99,us,False,4,protected,3375.0,3734.0,10.637037037037045,10.637037037037045
rabbitmq,q3-rate85,confirm_p99,us,False,5,nvhe,3695.0,3886.0,5.169147496617055,5.169147496617055
rabbitmq,q3-rate85,consumer_p95,us,False,1,nvhe,1939.0,2270.0,17.070654976792166,17.070654976792166
rabbitmq,q3-rate85,consumer_p95,us,False,2,protected,1967.0,2280.0,15.912557193695974,15.912557193695974
rabbitmq,q3-rate85,consumer_p95,us,False,3,nvhe,1799.0,2231.0,24.013340744858258,24.013340744858258
rabbitmq,q3-rate85,consumer_p95,us,False,4,protected,1874.0,2075.0,10.725720384204918,10.725720384204918
rabbitmq,q3-rate85,consumer_p95,us,False,5,nvhe,2054.0,2152.0,4.771178188899716,4.771178188899716
rabbitmq,q3-rate85,consumer_p99,us,False,1,nvhe,2635.0,3126.0,18.63377609108159,18.63377609108159
rabbitmq,q3-rate85,consumer_p99,us,False,2,protected,2632.0,3148.0,19.604863221884507,19.604863221884507
rabbitmq,q3-rate85,consumer_p99,us,False,3,nvhe,2405.0,3040.0,26.40332640332641,26.40332640332641
rabbitmq,q3-rate85,consumer_p99,us,False,4,protected,2557.0,2837.0,10.95033242080563,10.95033242080563
rabbitmq,q3-rate85,consumer_p99,us,False,5,nvhe,2824.0,2936.0,3.966005665722383,3.966005665722383
rabbitmq,q3-rate85,published,msg/s,True,1,nvhe,41469.0,41469.0,0.0,-0.0
rabbitmq,q3-rate85,published,msg/s,True,2,protected,41471.0,41471.0,0.0,-0.0
rabbitmq,q3-rate85,published,msg/s,True,3,nvhe,41469.0,41469.0,0.0,-0.0
rabbitmq,q3-rate85,published,msg/s,True,4,protected,41468.0,41470.0,0.004822996045139583,-0.004822996045139583
rabbitmq,q3-rate85,published,msg/s,True,5,nvhe,41471.0,41468.0,-0.007233970726527872,0.007233970726527872
rabbitmq,q3-rate85,received,msg/s,True,1,nvhe,41472.0,41469.0,-0.007233796296290951,0.007233796296290951
rabbitmq,q3-rate85,received,msg/s,True,2,protected,41471.0,41471.0,0.0,-0.0
rabbitmq,q3-rate85,received,msg/s,True,3,nvhe,41469.0,41471.0,0.0048228797414839875,-0.0048228797414839875
rabbitmq,q3-rate85,received,msg/s,True,4,protected,41469.0,41472.0,0.007234319612248186,-0.007234319612248186
rabbitmq,q3-rate85,received,msg/s,True,5,nvhe,41470.0,41470.0,0.0,-0.0
rabbitmq,q4-join-late,confirm_p95,us,False,1,nvhe,740.0,756.0,2.1621621621621623,2.1621621621621623
rabbitmq,q4-join-late,confirm_p95,us,False,2,protected,717.0,738.0,2.9288702928870203,2.9288702928870203
rabbitmq,q4-join-late,confirm_p95,us,False,3,nvhe,741.0,754.0,1.7543859649122862,1.7543859649122862
rabbitmq,q4-join-late,confirm_p95,us,False,4,protected,740.0,752.0,1.6216216216216273,1.6216216216216273
rabbitmq,q4-join-late,confirm_p95,us,False,5,nvhe,753.0,724.0,-3.8512616201859196,-3.8512616201859196
rabbitmq,q4-join-late,confirm_p99,us,False,1,nvhe,865.0,891.0,3.005780346820819,3.005780346820819
rabbitmq,q4-join-late,confirm_p99,us,False,2,protected,863.0,873.0,1.1587485515643037,1.1587485515643037
rabbitmq,q4-join-late,confirm_p99,us,False,3,nvhe,853.0,876.0,2.696365767878084,2.696365767878084
rabbitmq,q4-join-late,confirm_p99,us,False,4,protected,852.0,863.0,1.2910798122065748,1.2910798122065748
rabbitmq,q4-join-late,confirm_p99,us,False,5,nvhe,871.0,877.0,0.6888633754305484,0.6888633754305484
rabbitmq,q4-join-late,consumer_p95,us,False,1,nvhe,538.0,564.0,4.832713754646845,4.832713754646845
rabbitmq,q4-join-late,consumer_p95,us,False,2,protected,401.0,515.0,28.42892768079801,28.42892768079801
rabbitmq,q4-join-late,consumer_p95,us,False,3,nvhe,572.0,587.0,2.622377622377625,2.622377622377625
rabbitmq,q4-join-late,consumer_p95,us,False,4,protected,535.0,580.0,8.411214953271017,8.411214953271017
rabbitmq,q4-join-late,consumer_p95,us,False,5,nvhe,569.0,392.0,-31.107205623901578,-31.107205623901578
rabbitmq,q4-join-late,consumer_p99,us,False,1,nvhe,673.0,676.0,0.4457652303120341,0.4457652303120341
rabbitmq,q4-join-late,consumer_p99,us,False,2,protected,671.0,672.0,0.14903129657228842,0.14903129657228842
rabbitmq,q4-join-late,consumer_p99,us,False,3,nvhe,663.0,669.0,0.9049773755656076,0.9049773755656076
rabbitmq,q4-join-late,consumer_p99,us,False,4,protected,663.0,677.0,2.111613876319751,2.111613876319751
rabbitmq,q4-join-late,consumer_p99,us,False,5,nvhe,662.0,686.0,3.6253776435045237,3.6253776435045237
rabbitmq,q4-join-late,published,msg/s,True,1,nvhe,10007.0,10009.0,0.019986009793138138,-0.019986009793138138
rabbitmq,q4-join-late,published,msg/s,True,2,protected,10009.0,10009.0,0.0,-0.0
rabbitmq,q4-join-late,published,msg/s,True,3,nvhe,10009.0,10009.0,0.0,-0.0
rabbitmq,q4-join-late,published,msg/s,True,4,protected,10008.0,10009.0,0.009992006394887731,-0.009992006394887731
rabbitmq,q4-join-late,published,msg/s,True,5,nvhe,10009.0,10008.0,-0.009991008092713471,0.009991008092713471
rabbitmq,q4-join-late,received,msg/s,True,1,nvhe,10006.0,10007.0,0.009994003597846302,-0.009994003597846302
rabbitmq,q4-join-late,received,msg/s,True,2,protected,10007.0,10008.0,0.009993004896569069,-0.009993004896569069
rabbitmq,q4-join-late,received,msg/s,True,3,nvhe,10007.0,10007.0,0.0,-0.0
rabbitmq,q4-join-late,received,msg/s,True,4,protected,10007.0,10008.0,0.009993004896569069,-0.009993004896569069
rabbitmq,q4-join-late,received,msg/s,True,5,nvhe,10007.0,10007.0,0.0,-0.0
rabbitmq,q5-backlog,drain_time,s,False,1,nvhe,13.8,14.81,7.318840579710151,7.318840579710151
rabbitmq,q5-backlog,drain_time,s,False,2,protected,13.8,13.82,0.14492753623187582,0.14492753623187582
rabbitmq,q5-backlog,drain_time,s,False,3,nvhe,13.86,14.82,6.926406926406936,6.926406926406936
rabbitmq,q5-backlog,drain_time,s,False,4,protected,12.83,13.8,7.560405300077955,7.560405300077955
rabbitmq,q5-backlog,drain_time,s,False,5,nvhe,13.8,13.84,0.28985507246375164,0.28985507246375164
rabbitmq,q5-backlog,fill_time,s,False,1,nvhe,17.16,17.69,3.088578088578098,3.088578088578098
rabbitmq,q5-backlog,fill_time,s,False,2,protected,17.27,17.82,3.1847133757961776,3.1847133757961776
rabbitmq,q5-backlog,fill_time,s,False,3,nvhe,17.21,17.6,2.266124346310283,2.266124346310283
rabbitmq,q5-backlog,fill_time,s,False,4,protected,17.2,17.78,3.372093023255829,3.372093023255829
rabbitmq,q5-backlog,fill_time,s,False,5,nvhe,17.37,17.72,2.014968336211842,2.014968336211842
redis,r1-steady,latency_avg,ms,False,1,nvhe,0.685,0.706,3.065693430656924,3.065693430656924
redis,r1-steady,latency_avg,ms,False,2,protected,0.685,0.697,1.7518248175182327,1.7518248175182327
redis,r1-steady,latency_avg,ms,False,3,nvhe,0.687,0.696,1.3100436681222627,1.3100436681222627
redis,r1-steady,latency_avg,ms,False,4,protected,0.688,0.691,0.43604651162789665,0.43604651162789665
redis,r1-steady,latency_avg,ms,False,5,nvhe,0.693,0.692,-0.14430014430014682,-0.14430014430014682
redis,r1-steady,latency_p50,ms,False,1,nvhe,0.711,0.735,3.3755274261603407,3.3755274261603407
redis,r1-steady,latency_p50,ms,False,2,protected,0.711,0.727,2.250351617440227,2.250351617440227
redis,r1-steady,latency_p50,ms,False,3,nvhe,0.711,0.719,1.1251758087201136,1.1251758087201136
redis,r1-steady,latency_p50,ms,False,4,protected,0.719,0.719,0.0,0.0
redis,r1-steady,latency_p50,ms,False,5,nvhe,0.719,0.719,0.0,0.0
redis,r1-steady,latency_p95,ms,False,1,nvhe,0.775,0.799,3.0967741935483906,3.0967741935483906
redis,r1-steady,latency_p95,ms,False,2,protected,0.775,0.791,2.0645161290322678,2.0645161290322678
redis,r1-steady,latency_p95,ms,False,3,nvhe,0.783,0.799,2.0434227330779153,2.0434227330779153
redis,r1-steady,latency_p95,ms,False,4,protected,0.775,0.783,1.0322580645161228,1.0322580645161228
redis,r1-steady,latency_p95,ms,False,5,nvhe,0.783,0.791,1.0217113665389466,1.0217113665389466
redis,r1-steady,latency_p99,ms,False,1,nvhe,1.423,1.463,2.8109627547435068,2.8109627547435068
redis,r1-steady,latency_p99,ms,False,2,protected,1.415,1.447,2.2614840989399365,2.2614840989399365
redis,r1-steady,latency_p99,ms,False,3,nvhe,1.423,1.439,1.1243851018974071,1.1243851018974071
redis,r1-steady,latency_p99,ms,False,4,protected,1.431,1.431,0.0,0.0
redis,r1-steady,latency_p99,ms,False,5,nvhe,1.439,1.431,-0.5559416261292527,-0.5559416261292527
redis,r1-steady,throughput,ops/s,True,1,nvhe,94003.34,94002.39,-0.0010106023892286764,0.0010106023892286764
redis,r1-steady,throughput,ops/s,True,2,protected,94003.61,94002.99,-0.0006595491385819052,0.0006595491385819052
redis,r1-steady,throughput,ops/s,True,3,nvhe,94001.86,94003.65,0.0019042176399475252,-0.0019042176399475252
redis,r1-steady,throughput,ops/s,True,4,protected,94003.29,94001.91,-0.0014680337251937736,0.0014680337251937736
redis,r1-steady,throughput,ops/s,True,5,nvhe,94003.23,94003.38,0.0001595689850253379,-0.0001595689850253379
redis,r2-pipeline,latency_avg,ms,False,1,nvhe,2.522,2.574,2.0618556701030855,2.0618556701030855
redis,r2-pipeline,latency_avg,ms,False,2,protected,2.519,2.579,2.381897578404124,2.381897578404124
redis,r2-pipeline,latency_avg,ms,False,3,nvhe,2.533,2.582,1.9344650611922587,1.9344650611922587
redis,r2-pipeline,latency_avg,ms,False,4,protected,2.531,2.566,1.3828526274199726,1.3828526274199726
redis,r2-pipeline,latency_avg,ms,False,5,nvhe,2.533,2.565,1.2633241215949553,1.2633241215949553
redis,r2-pipeline,latency_p50,ms,False,1,nvhe,2.063,2.111,2.3267086766844525,2.3267086766844525
redis,r2-pipeline,latency_p50,ms,False,2,protected,2.063,2.111,2.3267086766844525,2.3267086766844525
redis,r2-pipeline,latency_p50,ms,False,3,nvhe,2.079,2.111,1.5392015392015512,1.5392015392015512
redis,r2-pipeline,latency_p50,ms,False,4,protected,2.079,2.095,0.7696007696007756,0.7696007696007756
redis,r2-pipeline,latency_p50,ms,False,5,nvhe,2.079,2.095,0.7696007696007756,0.7696007696007756
redis,r2-pipeline,latency_p95,ms,False,1,nvhe,3.551,3.647,2.7034638130104094,2.7034638130104094
redis,r2-pipeline,latency_p95,ms,False,2,protected,3.551,3.663,3.1540411151788073,3.1540411151788073
redis,r2-pipeline,latency_p95,ms,False,3,nvhe,3.583,3.631,1.3396595032096004,1.3396595032096004
redis,r2-pipeline,latency_p95,ms,False,4,protected,3.583,3.615,0.8931063354730595,0.8931063354730595
redis,r2-pipeline,latency_p95,ms,False,5,nvhe,3.599,3.631,0.8891358710752861,0.8891358710752861
redis,r2-pipeline,latency_p99,ms,False,1,nvhe,3.743,3.839,2.564787603526586,2.564787603526586
redis,r2-pipeline,latency_p99,ms,False,2,protected,3.743,3.855,2.992252204114343,2.992252204114343
redis,r2-pipeline,latency_p99,ms,False,3,nvhe,3.775,3.839,1.6953642384105905,1.6953642384105905
redis,r2-pipeline,latency_p99,ms,False,4,protected,3.775,3.807,0.8476821192052952,0.8476821192052952
redis,r2-pipeline,latency_p99,ms,False,5,nvhe,3.791,3.823,0.8441044579266643,0.8441044579266643
redis,r2-pipeline,throughput,ops/s,True,1,nvhe,633948.74,621034.77,-2.037068486010396,2.037068486010396
redis,r2-pipeline,throughput,ops/s,True,2,protected,634686.58,619889.99,-2.331322335506125,2.331322335506125
redis,r2-pipeline,throughput,ops/s,True,3,nvhe,631093.44,619269.24,-1.8736052778491774,1.8736052778491774
redis,r2-pipeline,throughput,ops/s,True,4,protected,631568.74,623029.68,-1.3520396845480231,1.3520396845480231
redis,r2-pipeline,throughput,ops/s,True,5,nvhe,631114.01,623241.95,-1.247327721341518,1.247327721341518
redis,r3-ttl-eviction,latency_avg,ms,False,1,nvhe,0.822,0.848,3.1630170316301776,3.1630170316301776
redis,r3-ttl-eviction,latency_avg,ms,False,2,protected,0.822,0.842,2.4330900243308973,2.4330900243308973
redis,r3-ttl-eviction,latency_avg,ms,False,3,nvhe,0.821,0.838,2.0706455542021995,2.0706455542021995
redis,r3-ttl-eviction,latency_avg,ms,False,4,protected,0.823,0.834,1.3365735115431265,1.3365735115431265
redis,r3-ttl-eviction,latency_avg,ms,False,5,nvhe,0.832,0.834,0.24038461538462563,0.24038461538462563
redis,r3-ttl-eviction,latency_p50,ms,False,1,nvhe,0.839,0.863,2.8605482717520836,2.8605482717520836
redis,r3-ttl-eviction,latency_p50,ms,False,2,protected,0.831,0.855,2.8880866425992746,2.8880866425992746
redis,r3-ttl-eviction,latency_p50,ms,False,3,nvhe,0.831,0.847,1.9253910950661979,1.9253910950661979
redis,r3-ttl-eviction,latency_p50,ms,False,4,protected,0.839,0.847,0.9535160905840279,0.9535160905840279
redis,r3-ttl-eviction,latency_p50,ms,False,5,nvhe,0.847,0.847,0.0,0.0
redis,r3-ttl-eviction,latency_p95,ms,False,1,nvhe,0.975,0.999,2.4615384615384706,2.4615384615384706
redis,r3-ttl-eviction,latency_p95,ms,False,2,protected,0.975,0.999,2.4615384615384706,2.4615384615384706
