phase,metric,unit,pair,first_mode,nvhe_boot_median,protected_boot_median,penalty_pct
end,lat_mmap:64,us,1,nvhe,324.773343,475.810977,46.505551411588584
end,lat_mmap:64,us,2,protected,321.3846,476.223233,48.17860998940211
end,lat_mmap:64,us,3,nvhe,322.64891,474.797617,47.15611994474118
end,lat_mmap:64,us,4,protected,322.84764,475.532327,47.29310922018819
end,lat_mmap:64,us,5,nvhe,322.43864,475.21076,47.38021472860696
start,lat_mmap:8,us,1,nvhe,46.10844,65.27823,41.57544692468449
start,lat_mmap:8,us,2,protected,45.93674,65.05821,41.62565737141992
start,lat_mmap:8,us,3,nvhe,47.05762,65.06561,38.26795745301188
start,lat_mmap:8,us,4,protected,45.91891,66.10712,43.96491554350921
start,lat_mmap:8,us,5,nvhe,45.7024,64.64007,41.436926725948744
end,lat_mmap:8,us,1,nvhe,45.749861,64.062286,40.02728008288374
end,lat_mmap:8,us,2,protected,46.315136,64.912023,40.15293618051774
end,lat_mmap:8,us,3,nvhe,45.981901,64.955687,41.26359630064012
end,lat_mmap:8,us,4,protected,45.777133,64.683356,41.300583415741656
end,lat_mmap:8,us,5,nvhe,45.134977,64.977567,43.962778578573314
start,op:dense-1.9,us,1,nvhe,71.8,117.9,64.20612813370474
start,op:dense-1.9,us,2,protected,66.6,116.6,75.07507507507508
start,op:dense-1.9,us,3,nvhe,65.9,116.3,76.47951441578147
start,op:dense-1.9,us,4,protected,66.3,115.0,73.45399698340876
start,op:dense-1.9,us,5,nvhe,66.8,118.5,77.39520958083833
end,op:dense-1.9,us,1,nvhe,67.0,112.3,67.61194029850745
end,op:dense-1.9,us,2,protected,66.4,113.2,70.48192771084337
end,op:dense-1.9,us,3,nvhe,65.9,111.2,68.74051593323216
end,op:dense-1.9,us,4,protected,66.1,111.1,68.07866868381241
end,op:dense-1.9,us,5,nvhe,66.1,114.0,72.46596066565812
start,op:dense-2.0,us,1,nvhe,67.0,69.8,4.179104477611939
start,op:dense-2.0,us,2,protected,65.5,88.1,34.503816793893115
start,op:dense-2.0,us,3,nvhe,64.0,69.7,8.906250000000004
start,op:dense-2.0,us,4,protected,64.2,66.3,3.2710280373831724
start,op:dense-2.0,us,5,nvhe,64.3,68.3,6.220839813374801
end,op:dense-2.0,us,1,nvhe,65.0,66.1,1.6923076923076819
end,op:dense-2.0,us,2,protected,64.4,65.4,1.552795031055898
end,op:dense-2.0,us,3,nvhe,63.9,64.3,0.62597809076681
end,op:dense-2.0,us,4,protected,64.3,64.4,0.15552099533437946
end,op:dense-2.0,us,5,nvhe,64.2,66.2,3.1152647975077885
start,op:sparse-6.4,us,1,nvhe,78.9,230.0,191.5082382762991
start,op:sparse-6.4,us,2,protected,71.9,236.0,228.23365785813627
start,op:sparse-6.4,us,3,nvhe,73.6,230.9,213.72282608695653
start,op:sparse-6.4,us,4,protected,72.2,244.6,238.78116343490302
start,op:sparse-6.4,us,5,nvhe,73.3,240.2,227.69440654843112
end,op:sparse-6.4,us,1,nvhe,71.7,223.3,211.4365411436541
end,op:sparse-6.4,us,2,protected,71.7,223.5,211.71548117154813
end,op:sparse-6.4,us,3,nvhe,71.5,223.7,212.86713286713285
end,op:sparse-6.4,us,4,protected,72.0,223.0,209.72222222222223
end,op:sparse-6.4,us,5,nvhe,72.0,224.0,211.11111111111111
