project,scenario,metric,unit,higher_better,pairs,median_delta,mad,ci95_low,ci95_high,equivalence_threshold,equivalent,same_direction_4of5
rabbitmq,q3-rate70,confirm_p99,us,False,5,0.027900146842878115,0.021598644176857862,0.006301502666020253,0.15916069600818838,0.05,False,True
rabbitmq,q3-rate70,consumer_p95,us,False,5,0.013579049466537318,0.015492925064623408,-0.00191387559808609,0.16416416416416424,0.03,False,True
rabbitmq,q3-rate70,consumer_p99,us,False,5,0.05540166204986141,0.05878690240192641,-0.003385240352065,0.31202435312024357,0.05,False,True
rabbitmq,q3-rate70,published,msg/s,True,5,0.0,2.926286834625813e-05,-2.9262868346369153e-05,8.77911740606585e-05,0.03,True,False
rabbitmq,q3-rate70,received,msg/s,True,5,2.9265437518244397e-05,2.9265437518244397e-05,0.0,8.779374323264477e-05,0.03,True,True
rabbitmq,q3-rate85,confirm_p95,us,False,5,0.16711486746062243,0.056800251769662635,0.05242082271568993,0.24416666666666664,0.03,False,True
rabbitmq,q3-rate85,confirm_p99,us,False,5,0.1685264663805437,0.054342938892295134,0.05169147496617055,0.22286940527283883,0.05,False,True
rabbitmq,q3-rate85,consumer_p95,us,False,5,0.15912557193695975,0.05186836809491058,0.04771178188899716,0.24013340744858258,0.03,False,True
rabbitmq,q3-rate85,consumer_p99,us,False,5,0.18633776091081589,0.07683443670275958,0.03966005665722383,0.2640332640332641,0.05,False,True
rabbitmq,q3-rate85,published,msg/s,True,5,0.0,0.0,-7.233970726527872e-05,4.8229960451395826e-05,0.03,True,False
rabbitmq,q3-rate85,received,msg/s,True,5,0.0,4.8228797414839875e-05,-7.233796296290951e-05,7.234319612248186e-05,0.03,True,False
rabbitmq,q4-join-late,confirm_p95,us,False,5,0.01754385964912286,0.004077761972498761,-0.038512616201859196,0.029288702928870203,0.03,False,True
rabbitmq,q4-join-late,confirm_p99,us,False,5,0.012910798122065748,0.006022164367760263,0.006888633754305484,0.03005780346820819,0.05,True,True
rabbitmq,q4-join-late,consumer_p95,us,False,5,0.048327137546468446,0.03578501198624173,-0.3110720562390158,0.2842892768079801,0.03,False,True
rabbitmq,q4-join-late,consumer_p99,us,False,5,0.009049773755656076,0.007559460789933192,0.0014903129657228842,0.03625377643504524,0.05,True,True
rabbitmq,q4-join-late,published,msg/s,True,5,0.0,9.991008092713471e-05,-9.991008092713471e-05,0.00019986009793138138,0.03,True,False
rabbitmq,q4-join-late,received,msg/s,True,5,9.993004896569069e-05,9.98701277232783e-09,0.0,9.994003597846302e-05,0.03,True,False
rabbitmq,q5-backlog,drain_time,s,False,5,0.06926406926406936,0.006339983736710186,0.0014492753623187582,0.07560405300077955,0.03,False,True
rabbitmq,q5-backlog,fill_time,s,False,5,0.030885780885780978,0.0028351493467773103,0.02014968336211842,0.03372093023255829,0.03,False,True
redis,r1-steady,latency_avg,ms,False,5,0.013100436681222627,0.00873997156494366,-0.0014430014430014682,0.03065693430656924,0.03,False,True
redis,r1-steady,latency_p50,ms,False,5,0.011251758087201136,0.011251758087201136,0.0,0.03375527426160341,0.03,False,False
redis,r1-steady,latency_p95,ms,False,5,0.020434227330779153,0.010111646685617925,0.010217113665389466,0.030967741935483906,0.03,False,True
redis,r1-steady,latency_p99,ms,False,5,0.011243851018974071,0.011370989970425294,-0.005559416261292527,0.028109627547435068,0.05,True,False
redis,r1-steady,throughput,ops/s,True,5,-6.595491385819052e-06,8.084845866118684e-06,-1.4680337251937736e-05,1.9042176399475252e-05,0.03,True,False
redis,r2-pipeline,latency_avg,ms,False,5,0.019344650611922587,0.004474325172118654,0.012633241215949553,0.02381897578404124,0.03,True,True
redis,r2-pipeline,latency_p50,ms,False,5,0.015392015392015512,0.007696007696007756,0.007696007696007756,0.023267086766844525,0.03,True,True
redis,r2-pipeline,latency_p95,ms,False,5,0.013396595032096004,0.004505236321343142,0.008891358710752861,0.03154041115178807,0.03,False,True
redis,r2-pipeline,latency_p99,ms,False,5,0.016953642384105905,0.008512597804839261,0.008441044579266643,0.02992252204114343,0.05,True,True
redis,r2-pipeline,throughput,ops/s,True,5,-0.018736052778491774,0.004577170576569478,-0.023313223355061252,-0.01247327721341518,0.03,True,True
redis,r3-ttl-eviction,latency_avg,ms,False,5,0.020706455542021995,0.00734072042659073,0.0024038461538462563,0.031630170316301776,0.03,False,True
redis,r3-ttl-eviction,latency_p50,ms,False,5,0.01925391095066198,0.009626955475330767,0.0,0.028880866425992746,0.03,True,True
redis,r3-ttl-eviction,latency_p95,ms,False,5,0.016410256410256396,0.0001335524428098811,0.016276703967446515,0.024615384615384706,0.03,True,True
redis,r3-ttl-eviction,latency_p99,ms,False,5,0.018968583283935914,0.004809291248537573,0.0,0.03319502074688807,0.05,True,True
redis,r3-ttl-eviction,throughput,ops/s,True,5,-0.0005844137802852867,0.00023353266521586313,-0.001018812531468516,-0.00012756183128548315,0.03,True,True
redis,r4-bgsave,latency_avg,ms,False,5,0.01532033426183843,0.005625043403112651,0.0013774104683195176,0.029247910863509752,0.03,True,True
redis,r4-bgsave,latency_p50,ms,False,5,0.010884353741496655,0.010884353741496655,0.0,0.03265306122448974,0.03,False,True
redis,r4-bgsave,latency_p95,ms,False,5,0.00901916572717032,0.00901916572717032,0.0,0.027303754266211566,0.03,True,True
redis,r4-bgsave,latency_p99,ms,False,5,0.01640464798359531,0.005527693530842148,-0.005379959650302579,0.03280929596719062,0.05,True,True
redis,r4-bgsave,throughput,ops/s,True,5,-2.842377095946258e-05,1.8097985388099147e-06,-7.38787594202206e-05,-2.6613972420652665e-05,0.03,True,True
