phase,metric,unit,pairs,nvhe_boot_median,protected_boot_median,median_penalty_pct,mad_penalty_pct,min_penalty_pct,max_penalty_pct,worse_pairs,better_pairs,exact_sign_p_two_sided,bootstrap95_low_pct,bootstrap95_high_pct,bootstrap_interval_is_descriptive,nvhe_first_median_penalty_pct,protected_first_median_penalty_pct,order_group_gap_pct,pair_index_spearman_rho,pair_index_permutation_p_two_sided
start,lat_mmap:4,us,5,26.476747,36.02974,34.09358785654446,2.9015231072535315,31.192064749290928,39.25753515089625,5,0,0.0625,31.192064749290928,39.25753515089625,True,37.10378984615854,32.6428263029177,4.460963543240844,-0.8,0.13333333333333333
end,lat_mmap:4,us,5,26.081794,35.310925,34.47087650489073,1.1093923680513882,32.0798865257395,37.90054864355461,5,0,0.0625,32.0798865257395,37.90054864355461,True,35.58026887294212,33.27538151531512,2.3048873576270026,-0.2,0.7833333333333333
start,lat_mmap:64,us,5,323.1956,489.603467,50.2762924866683,2.3596634768369142,47.91662900983138,63.685850611827654,5,0,0.0625,47.91662900983138,63.685850611827654,True,50.2762924866683,55.995339335021775,-5.719046848353479,0.6,0.35
end,lat_mmap:64,us,5,322.64891,475.532327,47.29310922018819,0.13698927544701434,46.505551411588584,48.17860998940211,5,0,0.0625,46.505551411588584,48.17860998940211,True,47.15611994474118,47.73585960479515,-0.5797396600539741,0.4,0.5166666666666667
start,lat_mmap:8,us,5,45.93674,65.06561,41.57544692468449,0.1385201987357476,38.26795745301188,43.96491554350921,5,0,0.0625,38.26795745301188,43.96491554350921,True,41.436926725948744,42.79528645746456,-1.3583597315158187,-0.1,0.95
end,lat_mmap:8,us,5,45.777133,64.912023,41.26359630064012,1.1106601201223754,40.02728008288374,43.962778578573314,5,0,0.0625,40.02728008288375,43.962778578573314,True,41.26359630064012,40.7267597981297,0.5368365025104183,1.0,0.016666666666666666
start,op:dense-1.9,us,5,66.6,116.6,75.07507507507508,1.6210780916663197,64.20612813370474,77.39520958083833,5,0,0.0625,64.20612813370474,77.39520958083833,True,76.47951441578147,74.26453602924192,2.214978386539542,0.7,0.23333333333333334
end,op:dense-1.9,us,5,66.1,112.3,68.74051593323216,1.1285756347247116,67.61194029850745,72.46596066565812,5,0,0.0625,67.61194029850745,72.46596066565812,True,68.74051593323216,69.28029819732788,-0.5397822640957202,0.6,0.35
start,op:dense-2.0,us,5,64.3,69.7,6.220839813374801,2.6854101866252025,3.2710280373831724,34.503816793893115,5,0,0.0625,3.2710280373831724,34.503816793893115,True,6.220839813374801,18.887422415638145,-12.666582602263343,-0.2,0.7833333333333333
end,op:dense-2.0,us,5,64.3,65.4,1.552795031055898,0.926816940289088,0.15552099533437946,3.1152647975077885,5,0,0.0625,0.15552099533437946,3.1152647975077885,True,1.6923076923076819,0.8541580131951387,0.8381496791125431,0.0,1.0
start,op:sparse-6.4,us,5,73.3,236.0,227.69440654843112,11.086756886471903,191.5082382762991,238.78116343490302,5,0,0.0625,191.5082382762991,238.78116343490302,True,213.72282608695653,233.50741064651965,-19.784584559563115,0.5,0.45
end,op:sparse-6.4,us,5,71.7,223.5,211.4365411436541,0.3254300325429824,209.72222222222223,212.86713286713285,5,0,0.0625,209.72222222222223,212.86713286713285,True,211.4365411436541,210.71885169688517,0.7176894467689294,-0.5,0.45
