project,scenario,metric,unit,higher_better,pairs,median_delta,mad,ci95_low,ci95_high,equivalence_threshold,equivalent,same_direction_4of5
rabbitmq,q3-rate85,confirm_p99,us,False,1,0.17520755797308896,0.0,0.17520755797308896,0.17520755797308896,0.05,False,False
rabbitmq,q3-rate85,consumer_p95,us,False,1,0.17070654976792166,0.0,0.17070654976792166,0.17070654976792166,0.03,False,False
rabbitmq,q3-rate85,consumer_p99,us,False,1,0.18633776091081589,0.0,0.18633776091081589,0.18633776091081589,0.05,False,False
rabbitmq,q3-rate85,published,msg/s,True,1,0.0,0.0,0.0,0.0,0.03,False,False
rabbitmq,q3-rate85,received,msg/s,True,1,-7.233796296290951e-05,0.0,-7.233796296290951e-05,-7.233796296290951e-05,0.03,False,False
rabbitmq,q4-join-late,confirm_p95,us,False,1,0.021621621621621623,0.0,0.021621621621621623,0.021621621621621623,0.03,False,False
rabbitmq,q4-join-late,confirm_p99,us,False,1,0.03005780346820819,0.0,0.03005780346820819,0.03005780346820819,0.05,False,False
rabbitmq,q4-join-late,consumer_p95,us,False,1,0.048327137546468446,0.0,0.048327137546468446,0.048327137546468446,0.03,False,False
rabbitmq,q4-join-late,consumer_p99,us,False,1,0.004457652303120341,0.0,0.004457652303120341,0.004457652303120341,0.05,False,False
rabbitmq,q4-join-late,published,msg/s,True,1,0.00019986009793138138,0.0,0.00019986009793138138,0.00019986009793138138,0.03,False,False
rabbitmq,q4-join-late,received,msg/s,True,1,9.994003597846302e-05,0.0,9.994003597846302e-05,9.994003597846302e-05,0.03,False,False
rabbitmq,q5-backlog,drain_time,s,False,1,0.07318840579710151,0.0,0.07318840579710151,0.07318840579710151,0.03,False,False
rabbitmq,q5-backlog,fill_time,s,False,1,0.030885780885780978,0.0,0.030885780885780978,0.030885780885780978,0.03,False,False
redis,r1-steady,latency_avg,ms,False,1,0.03065693430656924,0.0,0.03065693430656924,0.03065693430656924,0.03,False,False
redis,r1-steady,latency_p50,ms,False,1,0.03375527426160341,0.0,0.03375527426160341,0.03375527426160341,0.03,False,False
redis,r1-steady,latency_p95,ms,False,1,0.030967741935483906,0.0,0.030967741935483906,0.030967741935483906,0.03,False,False
redis,r1-steady,latency_p99,ms,False,1,0.028109627547435068,0.0,0.028109627547435068,0.028109627547435068,0.05,False,False
redis,r1-steady,throughput,ops/s,True,1,-1.0106023892286764e-05,0.0,-1.0106023892286764e-05,-1.0106023892286764e-05,0.03,False,False
redis,r2-pipeline,latency_avg,ms,False,1,0.020618556701030855,0.0,0.020618556701030855,0.020618556701030855,0.03,False,False
redis,r2-pipeline,latency_p50,ms,False,1,0.023267086766844525,0.0,0.023267086766844525,0.023267086766844525,0.03,False,False
redis,r2-pipeline,latency_p95,ms,False,1,0.027034638130104094,0.0,0.027034638130104094,0.027034638130104094,0.03,False,False
redis,r2-pipeline,latency_p99,ms,False,1,0.02564787603526586,0.0,0.02564787603526586,0.02564787603526586,0.05,False,False
redis,r2-pipeline,throughput,ops/s,True,1,-0.02037068486010396,0.0,-0.02037068486010396,-0.02037068486010396,0.03,False,False
redis,r3-ttl-eviction,latency_avg,ms,False,1,0.031630170316301776,0.0,0.031630170316301776,0.031630170316301776,0.03,False,False
redis,r3-ttl-eviction,latency_p50,ms,False,1,0.028605482717520836,0.0,0.028605482717520836,0.028605482717520836,0.03,False,False
redis,r3-ttl-eviction,latency_p95,ms,False,1,0.024615384615384706,0.0,0.024615384615384706,0.024615384615384706,0.03,False,False
redis,r3-ttl-eviction,latency_p99,ms,False,1,0.03319502074688807,0.0,0.03319502074688807,0.03319502074688807,0.05,False,False
redis,r3-ttl-eviction,throughput,ops/s,True,1,-0.001018812531468516,0.0,-0.001018812531468516,-0.001018812531468516,0.03,False,False
redis,r4-bgsave,latency_avg,ms,False,1,0.029247910863509752,0.0,0.029247910863509752,0.029247910863509752,0.03,False,False
redis,r4-bgsave,latency_p50,ms,False,1,0.03265306122448974,0.0,0.03265306122448974,0.03265306122448974,0.03,False,False
redis,r4-bgsave,latency_p95,ms,False,1,0.027303754266211566,0.0,0.027303754266211566,0.027303754266211566,0.03,False,False
redis,r4-bgsave,latency_p99,ms,False,1,0.03280929596719062,0.0,0.03280929596719062,0.03280929596719062,0.05,False,False
redis,r4-bgsave,throughput,ops/s,True,1,-7.153660630343506e-05,0.0,-7.153660630343506e-05,-7.153660630343506e-05,0.03,False,False
