Linux 6.6.30+ (kylin) 	2026年07月16日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分09秒   999    105352   44.00   10.00    0.00    0.00   54.00     2     10.00      0.00 2669132  116512   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分10秒   999    105352   40.00   15.00    0.00    0.00   55.00     2      0.00      0.00 2668620  116512   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分11秒   999    105352   41.00   13.00    0.00    0.00   54.00     2     10.00      0.00 2669132  116512   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分12秒   999    105352   45.00   11.00    0.00    0.00   56.00     2     49.00      0.00 2669132  116640   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分13秒   999    105352   41.00   13.00    0.00    0.00   54.00     2      2.00      0.00 2669132  116640   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分14秒   999    105352   43.00   12.00    0.00    0.00   55.00     2      7.00      0.00 2669132  116640   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分15秒   999    105352   47.00    8.00    0.00    0.00   55.00     2      0.00      0.00 2669132  116640   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分16秒   999    105352   43.00   12.00    0.00    0.00   55.00     2      0.00      0.00 2669132  116640   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分17秒   999    105352   43.00   12.00    0.00    0.00   55.00     2     48.00      0.00 2668620  116576   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分18秒   999    105352   45.00   10.00    0.00    0.00   55.00     2      6.00      0.00 2668620  116576   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分19秒   999    105352   43.00   12.00    0.00    0.00   55.00     2      6.00      0.00 2668620  116704   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分20秒   999    105352   43.00   11.00    0.00    0.00   54.00     2      6.00      0.00 2668620  116704   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分21秒   999    105352   44.00   11.00    0.00    0.00   55.00     2      0.00      0.00 2668620  116704   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分22秒   999    105352   39.00   16.00    0.00    0.00   55.00     2     36.00      0.00 2668620  116704   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分23秒   999    105352   44.00   11.00    0.00    0.00   55.00     2      0.00      0.00 2668620  116704   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分24秒   999    105352   40.00   16.00    0.00    0.00   56.00     2      0.00      0.00 2668620  116704   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分25秒   999    105352   39.00   16.00    0.00    0.00   55.00     2      7.00      0.00 2668620  116704   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分26秒   999    105352   45.00   10.00    0.00    0.00   55.00     2      0.00      0.00 2668620  116704   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分27秒   999    105352   43.00   11.00    0.00    0.00   54.00     2     30.00      0.00 2668620  116832   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分28秒   999    105352   41.00   15.00    0.00    0.00   56.00     2     21.00      0.00 2669132  116832   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分29秒   999    105352   46.00    9.00    0.00    0.00   55.00     2      0.00      0.00 2668620  116832   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分30秒   999    105352   45.00   10.00    0.00    0.00   55.00     2      0.00      0.00 2668620  116832   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分31秒   999    105352   44.00   11.00    0.00    0.00   55.00     2      0.00      0.00 2668620  116832   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分32秒   999    105352   45.00   10.00    0.00    0.00   55.00     2      5.00      0.00 2668620  116832   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分33秒   999    105352   45.00   10.00    0.00    0.00   55.00     2     63.00      0.00 2670156  116960   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分34秒   999    105352   44.00   11.00    0.00    0.00   55.00     2      0.00      0.00 2669132  116960   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分35秒   999    105352   44.00   11.00    0.00    0.00   55.00     2      0.00      0.00 2668620  116960   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分36秒   999    105352   42.00   13.00    0.00    0.00   55.00     2      0.00      0.00 2668620  116960   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分37秒   999    105352   42.00   12.00    0.00    0.00   54.00     2      7.00      0.00 2668620  116960   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分38秒   999    105352   45.00   11.00    0.00    0.00   56.00     2     36.00      0.00 2669132  116960   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分39秒   999    105352   45.00    9.00    0.00    0.00   54.00     2      0.00      0.00 2668620  116960   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分40秒   999    105352   46.00    9.00    0.00    0.00   55.00     2      0.00      0.00 2668620  116960   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分41秒   999    105352   41.58   12.87    0.00    0.00   54.46     2      0.00      0.00 2668620  116960   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分42秒   999    105352   45.00   11.00    0.00    0.00   56.00     2      1.00      0.00 2668620  116960   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分43秒   999    105352   45.00    9.00    0.00    0.00   54.00     2    137.00      0.00 2670232  117344   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分44秒   999    105352   45.00   10.00    0.00    0.00   55.00     2      2.00      0.00 2669720  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分45秒   999    105352   43.00   11.00    0.00    0.00   54.00     2      0.00      0.00 2669208  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分46秒   999    105352   46.00    9.00    0.00    0.00   55.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分47秒   999    105352   42.00   13.00    0.00    0.00   55.00     2      1.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分48秒   999    105352   45.00   10.00    0.00    0.00   55.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分49秒   999    105352   43.00   13.00    0.00    0.00   56.00     2      3.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分50秒   999    105352   42.00   13.00    0.00    0.00   55.00     2      3.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分51秒   999    105352   43.00   12.00    0.00    0.00   55.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分52秒   999    105352   42.00   14.00    0.00    0.00   56.00     2      1.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分53秒   999    105352   38.00   16.00    0.00    0.00   54.00     2     34.00      0.00 2669132  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分54秒   999    105352   44.00   11.00    0.00    0.00   55.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分55秒   999    105352   43.00   12.00    0.00    0.00   55.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分56秒   999    105352   39.00   16.00    0.00    0.00   55.00     2      2.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分57秒   999    105352   44.00   12.00    0.00    0.00   56.00     2     34.00      0.00 2669644  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分58秒   999    105352   40.00   13.00    0.00    0.00   53.00     2      0.00      0.00 2669132  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时54分59秒   999    105352   46.00    9.00    0.00    0.00   55.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分00秒   999    105352   44.00   11.00    0.00    0.00   55.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分01秒   999    105352   45.00   10.00    0.00    0.00   55.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分02秒   999    105352   44.00   12.00    0.00    0.00   56.00     2      1.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分03秒   999    105352   43.00   11.00    0.00    0.00   54.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分04秒   999    105352   43.00   12.00    0.00    0.00   55.00     2     30.00      0.00 2669132  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分05秒   999    105352   42.00   12.00    0.00    0.00   54.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分06秒   999    105352   43.00   13.00    0.00    0.00   56.00     2     15.00      0.00 2669132  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分07秒   999    105352   42.00   13.00    0.00    0.00   55.00     2     25.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分08秒   999    105352   46.00    9.00    0.00    0.00   55.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分09秒   999    105352   43.00   11.00    0.00    0.00   54.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分10秒   999    105352   46.00   10.00    0.00    0.00   56.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分11秒   999    105352   44.00   10.00    0.00    0.00   54.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分12秒   999    105352   45.00   10.00    0.00    0.00   55.00     2     39.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分13秒   999    105352   46.00    9.00    0.00    0.00   55.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分14秒   999    105352   41.00   14.00    0.00    0.00   55.00     2      4.00      0.00 2669132  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分15秒   999    105352   43.00   11.00    0.00    0.00   54.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分16秒   999    105352   44.00   11.00    0.00    0.00   55.00     2      0.00      0.00 2668620  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分17秒   999    105352   43.00   12.00    0.00    0.00   55.00     2     22.00      0.00 2669132  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分18秒   999    105352   45.00    9.00    0.00    0.00   54.00     2     17.00      0.00 2669132  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分19秒   999    105352   42.00   14.00    0.00    0.00   56.00     2      0.00      0.00 2669132  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分20秒   999    105352   43.00   11.00    0.00    0.00   54.00     2      0.00      0.00 2669132  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分21秒   999    105352   42.00   13.00    0.00    0.00   55.00     2      0.00      0.00 2669132  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分22秒   999    105352   44.00   11.00    0.00    0.00   55.00     2     24.00      0.00 2669132  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09时55分23秒   999    105352   46.00   10.00    0.00    0.00   56.00     2      0.00      0.00 2669132  117032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
