summary_order,category,item,bench,variant,unit,direction,n90_vhe_vm_mean,n90_nvhe_vm_mean,n90_pkvm_np_vm_mean,n90_pkvm_pvm_mean,kunpeng_regular_vm_mean,kunpeng_virtcca_cvm_mean,hygon_regular_vm_mean,hygon_csv_cvm_mean,n90_pkvm_pvm_over_nvhe_vm_ratio,n90_pkvm_pvm_over_nvhe_vm_delta_pct,n90_pkvm_pvm_over_vhe_vm_ratio,n90_pkvm_pvm_over_vhe_vm_delta_pct,n90_pkvm_np_over_nvhe_vm_ratio,n90_pkvm_np_over_nvhe_vm_delta_pct,kunpeng_virtcca_over_regular_vm_ratio,kunpeng_virtcca_over_regular_vm_delta_pct,hygon_csv_over_regular_vm_ratio,hygon_csv_over_regular_vm_delta_pct
3,上下文切换,2p/16K ctxsw,lat_ctx,sz16k_p2,us,lower-is-better,3.628000,3.650000,3.632000,3.535000,6.732000,5.201000,2.537000,2.525000,0.968493,-3.150685,0.974366,-2.563396,0.995068,-0.493151,0.772579,-22.742127,0.995270,-0.473000
3,上下文切换,8p/16K ctxsw,lat_ctx,sz16k_p8,us,lower-is-better,7.367000,7.452000,7.304000,7.177000,12.986000,9.695000,4.742000,4.635000,0.963097,-3.690284,0.974209,-2.579069,0.980140,-1.986044,0.746573,-25.342677,0.977436,-2.256432
3,上下文切换,16p/16K ctxsw,lat_ctx,sz16k_p16,us,lower-is-better,7.630000,7.631000,7.668000,7.399000,13.778000,10.566000,4.907000,4.880000,0.969598,-3.040231,0.969725,-3.027523,1.004849,0.484864,0.766875,-23.312527,0.994498,-0.550234
4,本地通信延迟,Pipe (管道),lat_pipe,rt,us,lower-is-better,20.064410,20.109480,20.100760,19.975710,23.471210,27.061640,8.953780,8.939030,0.993348,-0.665209,0.995579,-0.442076,0.999566,-0.043363,1.152972,15.297166,0.998353,-0.164735
4,本地通信延迟,AF UNIX (域套接字),lat_unix,rt,us,lower-is-better,48.430120,48.495610,48.540080,47.940130,62.064740,70.109540,20.188950,20.160770,0.988546,-1.145423,0.989883,-1.011746,1.000917,0.091699,1.129619,12.961949,0.998604,-0.139581
4,本地通信延迟,UDP,lat_udp,lhost,us,lower-is-better,114.545300,113.358890,112.252150,110.793000,241.448590,345.227520,214.649130,217.339810,0.977365,-2.263510,0.967242,-3.275822,0.990237,-0.976315,1.429818,42.981792,1.012535,1.253525
4,本地通信延迟,TCP,lat_tcp,lhost,us,lower-is-better,109.984720,111.284840,110.450930,111.082960,275.935550,399.291640,260.729180,236.374650,0.998186,-0.181408,1.009985,0.998539,0.992507,-0.749347,1.447047,44.704675,0.906591,-9.340930
4,本地通信延迟,TCP conn (TCP 连接),lat_connect,lhost,us,lower-is-better,250.268110,250.557220,249.881810,251.953530,237.528090,345.751060,250.559270,256.214340,1.005573,0.557282,1.006734,0.673446,0.997304,-0.269563,1.455622,45.562178,1.022570,2.256979
5,文件系统（ops/s，越大越好）,0K File Create (ops/s),lat_fs,sz0K_create,ops/s,higher-is-better,54.800000,54.800000,54.900000,54.800000,627.100000,556.700000,108.000000,116.100000,1.000000,0.000000,1.000000,0.000000,1.001825,0.182482,0.887737,-11.226280,1.075000,7.500000
5,文件系统（ops/s，越大越好）,10K File Create (ops/s),lat_fs,sz10K_create,ops/s,higher-is-better,53.800000,53.100000,52.900000,54.200000,467.200000,400.000000,82.600000,88.200000,1.020716,2.071563,1.007435,0.743494,0.996234,-0.376648,0.856164,-14.383562,1.067797,6.779661
5,文件系统（ops/s，越大越好）,0K File Unlink (ops/s),lat_fs,sz0K_unlink,ops/s,higher-is-better,711.100000,713.600000,728.400000,708.700000,6091.200000,5212.800000,1365.400000,1418.800000,0.993133,-0.686659,0.996625,-0.337505,1.020740,2.073991,0.855792,-14.420804,1.039109,3.910942
5,文件系统（ops/s，越大越好）,10K File Unlink (ops/s),lat_fs,sz10K_unlink,ops/s,higher-is-better,740.700000,751.600000,751.000000,742.800000,6292.200000,5329.300000,1344.900000,1362.400000,0.988292,-1.170836,1.002835,0.283516,0.999202,-0.079830,0.846969,-15.303074,1.013012,1.301212
6,内存延迟,Prot Fault (保护错误),lat_sig,prot,us,lower-is-better,1.534590,1.528260,1.523060,1.487540,1.326130,1.313540,0.891470,0.893360,0.973355,-2.664468,0.969340,-3.065966,0.996597,-0.340256,0.990506,-0.949379,1.002120,0.212009
6,内存延迟,Page Fault (缺页中断),lat_pagefault,minor,us,lower-is-better,89.788220,84.654550,99.082990,85.612940,49.349470,58.672160,237.765650,258.651370,1.011321,1.132119,0.953499,-4.650142,1.170439,17.043904,1.188912,18.891165,1.087842,8.784162
6,内存延迟,"L1 Cache (~64KB, stride256)",lat_mem_rd_load,stride256_sz0.06250MB,ns,lower-is-better,2.225400,2.226000,2.226000,2.226100,1.384100,1.389000,2.714200,2.714000,1.000045,0.004492,1.000315,0.031455,1.000000,0.000000,1.003540,0.354021,0.999926,-0.007369
6,内存延迟,"L2 Cache (~512KB, stride256)",lat_mem_rd_load,stride256_sz0.50000MB,ns,lower-is-better,4.182800,4.217900,4.208500,4.212600,1.709800,1.663600,4.033200,4.041800,0.998743,-0.125655,1.007124,0.712441,0.997771,-0.222860,0.972979,-2.702070,1.002132,0.213230
6,内存延迟,"LLC (~1MB, stride256)",lat_mem_rd_load,stride256_sz1.00000MB,ns,lower-is-better,4.649900,4.652000,4.651600,4.642400,2.026700,1.796800,5.569900,5.892700,0.997936,-0.206363,0.998387,-0.161294,0.999914,-0.008598,0.886564,-11.343563,1.057954,5.795436
6,内存延迟,LLC 边界 (~8MB),lat_mem_rd_load,stride256_sz8.00000MB,ns,lower-is-better,11.225700,11.841600,11.175500,9.993100,3.492700,3.482700,7.146500,6.384500,0.843898,-15.610222,0.890198,-10.980162,0.943749,-5.625084,0.997137,-0.286311,0.893374,-10.662562
6,内存延迟,"Main Memory (顺序, 64MB)",lat_mem_rd_load,stride256_sz64.00000MB,ns,lower-is-better,10.374400,10.185800,10.627200,10.270100,4.536700,9.136500,43.394600,43.962500,1.008276,0.827623,0.989946,-1.005359,1.043335,4.333484,2.013909,101.390879,1.013087,1.308688
6,内存延迟,"Random Memory (随机, 64MB stride16)",lat_mem_rd_rand,stride16_sz64.00000MB,ns,lower-is-better,192.136700,191.937200,189.544100,153.235700,52.707600,169.822700,103.508700,104.700800,0.798364,-20.163626,0.797535,-20.246522,0.987532,-1.246814,3.221977,222.197748,1.011517,1.151691
6,内存延迟,"Random Memory (随机, 8MB stride16)",lat_mem_rd_rand,stride16_sz8.00000MB,ns,lower-is-better,122.511000,126.979900,126.247900,98.418600,32.013200,37.221100,23.497900,22.390500,0.775072,-22.492772,0.803345,-19.665499,0.994235,-0.576469,1.162680,16.267977,0.952872,-4.712762
6,内存延迟,"Random Memory (随机, 4MB stride16)",lat_mem_rd_rand,stride16_sz4.00000MB,ns,lower-is-better,51.911000,52.180300,52.601600,35.890500,24.780100,28.853700,11.313100,11.525300,0.687817,-31.218295,0.691385,-30.861474,1.008074,0.807393,1.164390,16.438997,1.018757,1.875702
7,mmap 延迟 (pKVM stage-2 信号),mmap 0.5 MB,lat_mmap,sz0.524288MB,us,lower-is-better,13988.200000,13987.700000,13987.500000,13988.200000,1522.500000,1757.500000,7534.200000,7343.800000,1.000036,0.003575,1.000000,0.000000,0.999986,-0.001430,1.154351,15.435140,0.974729,-2.527143
7,mmap 延迟 (pKVM stage-2 信号),mmap 1 MB,lat_mmap,sz1.048576MB,us,lower-is-better,14988.500000,14988.300000,14988.400000,13987.800000,1820.900000,2035.600000,9247.200000,8674.900000,0.933248,-6.675207,0.933235,-6.676452,1.000007,0.000667,1.117909,11.790873,0.938111,-6.188900
7,mmap 延迟 (pKVM stage-2 信号),mmap 16 MB,lat_mmap,sz16.777216MB,us,lower-is-better,26997.400000,27386.500000,30677.200000,24087.500000,11625.100000,13053.300000,66656.300000,58551.400000,0.879539,-12.046081,0.892216,-10.778445,1.120158,12.015774,1.122855,12.285486,0.878408,-12.159241
7,mmap 延迟 (pKVM stage-2 信号),mmap 67 MB,lat_mmap,sz67.108864MB,us,lower-is-better,65486.400000,66884.800000,79976.700000,56283.000000,43070.100000,50200.200000,249830.700000,230175.200000,0.841492,-15.850836,0.859461,-14.053910,1.195738,19.573805,1.165546,16.554640,0.921325,-7.867528
8,内存带宽 (MB/s),Pipe bw,bw_pipe,bw,MB/s,higher-is-better,3116.261000,3114.570000,3105.607000,3115.476000,2896.577000,2639.544000,6665.242000,6613.660000,1.000291,0.029089,0.999748,-0.025190,0.997122,-0.287776,0.911263,-8.873681,0.992261,-0.773895
8,内存带宽 (MB/s),TCP bw (10MB msg),bw_tcp,msg10.000000MB,MB/s,higher-is-better,,,,,,,,,,,,,,,,,,
8,内存带宽 (MB/s),Mem read (DRAM 67MB),bw_mem_rd,sz67.11,MB/s,higher-is-better,17441.300000,17836.037000,17530.976000,18142.894000,38220.741000,13299.856000,19657.835000,19461.740000,1.017204,1.720433,1.040226,4.022602,0.982896,-1.710363,0.347975,-65.202517,0.990025,-0.997541
8,内存带宽 (MB/s),Mem write (DRAM 67MB),bw_mem_wr,sz67.11,MB/s,higher-is-better,7567.343000,7442.724000,7349.436000,7582.752000,31761.457000,13189.035000,13928.889000,13842.378000,1.018814,1.881408,1.002036,0.203625,0.987466,-1.253412,0.415253,-58.474717,0.993789,-0.621090
8,内存带宽 (MB/s),Mem bzero (DRAM 67MB),bw_mem_bzero,sz67.11,MB/s,higher-is-better,26876.192000,27801.044000,26860.446000,28669.860000,51303.615000,19344.472000,12326.527000,12209.783000,1.031251,3.125120,1.066738,6.673817,0.966167,-3.383319,0.377059,-62.294135,0.990529,-0.947096
8,内存带宽 (MB/s),Mem rd peak (cache resident),bw_mem_rd,sz0.065536,MB/s,higher-is-better,48586.840000,48654.448000,48658.466000,48637.016000,87646.047000,86946.418000,133764.560000,133769.730000,0.999642,-0.035828,1.001033,0.103271,1.000083,0.008258,0.992018,-0.798244,1.000039,0.003865
8,内存带宽 (MB/s),Mem wr peak (cache resident),bw_mem_wr,sz0.032768,MB/s,higher-is-better,57280.879000,57272.002000,57265.833000,57262.700000,86326.427000,84759.400000,80432.409000,80441.727000,0.999838,-0.016242,0.999683,-0.031737,0.999892,-0.010771,0.981848,-1.815234,1.000116,0.011585
8,内存带宽 (MB/s),Mem bzero peak (cache resident),bw_mem_bzero,sz0.131072,MB/s,higher-is-better,28733.336000,28728.338000,28722.050000,28712.515000,65978.876000,65202.441000,91353.378000,91376.806000,0.999449,-0.055078,0.999275,-0.072463,0.999781,-0.021888,0.988232,-1.176793,1.000256,0.025645
9,TLB,tlb effective (pages),tlb,effective,pages,higher-is-better,48.000000,48.000000,48.000000,48.000000,32.000000,32.000000,64.000000,64.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
